Symbol	X4cell_wt_male_IB100	X4cell_wt_male_IB2	X4cell_wt_male_IB4	X4cell_wt_male_IB5	X4cell_wt_male_IB98	X4cell_wt_male_IB99	X4cell_wt_female_IB1	X4cell_wt_female_IB101	X4cell_wt_female_IB3	X4cell_KO_male_IB102	X4cell_KO_male_IB103	X4cell_KO_male_IB7	X4cell_KO_male_IB8	X4cell_KO_female_IB104	X4cell_KO_female_IB6	X4cell_KO_female_IB9
0610007P14Rik	5.325368324	12.98528401	10.42111558	22.40109481	13.05588526	8.319398608	95.74942727	7.977632503	37.64163303	60.51821352	21.22718694	24.16603178	15.31182389	11.69506717	25.46064922	16.38349615
0610009B22Rik	21.16750177	14.5165675	29.95719613	52.36207881	2.162295463	23.02970989	0	29.72797018	27.40125897	48.57267355	29.5991998	11.61969879	12.44906436	19.92259421	7.590155804	12.69875513
0610009L18Rik	0	2.485874241	0	10.72104093	0	0	0	0	1.675821285	0	0	0	3.553044757	0	2.785217569	6.272841015
0610009O20Rik	0	2.240285583	1.83459442	1.254788295	0	0.585838326	0	2.359441227	2.912645709	0	1.687658776	1.152786256	0	4.529510356	0	0.969106969
0610010F05Rik	0	0.743360461	4.048161099	2.914503442	1.660893616	0	3.07624417	0	3.19468612	1.998720263	0.391993401	1.115659485	3.851491934	0	0.62465568	1.500633271
0610010K14Rik	27.64758582	39.60653849	38.64503822	53.52407361	39.53945537	35.47883102	26.63035628	34.16925729	15.90653588	35.49753456	47.10361006	39.45988618	56.60938177	46.62197994	53.81754189	42.5289002
0610011F06Rik	15.56242038	10.43546098	19.57745247	24.54867202	12.71781672	17.36566382	0	18.65054405	13.75010331	7.652313705	0	10.2514112	2.033910023	23.19133673	3.188747858	8.618001799
0610012G03Rik	95.80956675	161.616469	122.3269146	201.7842886	151.9192631	106.2729043	125.931904	98.32662549	157.4334983	201.1016944	172.104023	188.3955242	148.0177673	174.966019	173.4597906	173.6873345
0610030E20Rik	5.447182964	18.26318268	12.18227704	10.80580139	9.273979784	19.14682481	8.244918555	7.548107404	16.34124653	10.56509556	12.08209267	10.16660957	11.15329425	8.971938667	6.510761614	15.75276337
0610037L13Rik	28.48093504	15.37764049	12.51167372	12.447241	7.75833285	20.88470195	9.330967456	6.70460604	9.196217867	6.668844203	13.07908348	11.31628305	3.899529618	6.38235912	15.56202157	15.52154046
0610038B21Rik	0	0	1.158336175	1.584510079	3.386129139	0.924724449	0	1.862145998	1.362223737	2.26381645	1.598344726	0.606543699	0	0	1.698013469	2.549500058
0610039K10Rik	0	0	0	0	1.807597153	1.480920437	0	0	0	0	2.559704541	0	1.156327395	2.081816823	1.812880836	4.89954396
0610040B10Rik	0	1.74858654	6.014134072	6.855706959	0	3.200807581	0	4.297042962	1.76818189	10.97024871	0	0	0	0	0	0
0610040F04Rik	0	2.575324109	1.476272799	7.572831118	5.034800941	0.589270015	0	0	1.736122804	0	1.018526786	0	0.690167794	2.899300124	0.360679848	2.274495407
0610040J01Rik	8.99901813	4.11432127	11.79241975	5.484565568	8.273381837	20.33454228	26.62289679	6.066413593	6.240641964	9.587444254	14.75320617	25.68761218	23.2282676	17.46889235	16.13415472	22.84052111
1110001J03Rik	47.69887728	6.978485964	26.00215185	32.83277347	3.89801563	15.96774757	11.81414737	32.15474325	18.22978154	26.58161982	9.199845118	12.56824563	33.66328629	35.91488071	15.63763878	29.93610249
1110002L01Rik	4.462013156	0.932579488	6.949666039	2.011007375	3.125499805	3.840969098	0	2.005286716	0.707272756	2.925399657	0.24588677	3.639078393	2.332627717	1.199883515	6.791710843	1.882612649
1110004E09Rik	115.7569314	70.12388325	69.77705567	79.36821883	87.20762569	24.21935229	38.32741016	42.26841916	71.3556922	40.31812327	53.02528099	83.40106244	123.3934561	84.26525026	75.60321019	74.11876755
1110004F10Rik	28.54777805	22.53178656	40.95338916	38.3527835	20.8738737	82.48938395	81.87204125	21.60798747	56.12714513	25.11963073	16.80811703	12.53682501	15.31679526	45.95982391	12.31464054	22.74263316
1110007C09Rik	0	0	2.194211436	3.001503544	0	0	0	0	0.32255391	0	2.018473481	6.893776519	0	2.462447511	0	0
1110008F13Rik	24.04023415	25.64593592	7.560625691	30.45239739	37.65483099	30.84968831	20.39909445	53.11963585	15.31301649	34.14956334	45.5944324	19.35509826	33.51367169	38.65339036	40.22782576	36.97989132
1110008L16Rik	29.01872986	7.898652063	20.65810998	15.48417613	28.67798987	15.81406376	26.55814264	22.44332994	24.79349903	22.78618047	13.01614276	13.33637228	15.17025863	25.40658068	17.97613553	12.95541909
1110008P14Rik	32.01705461	72.60493273	59.07338186	64.27877454	49.71304865	68.59569368	0	43.16664163	85.26027743	40.93269579	12.35047701	39.36902511	49.37623575	21.09384261	26.24124316	54.37226029
1110012L19Rik	0	29.11553747	10.84857991	13.69844191	14.63691962	2.664816151	0	9.838073763	11.77672706	11.09034469	0	3.495803419	15.60549696	21.54000917	12.23308663	6.612298447
1110017D15Rik	1.630636037	1.789251343	0.683777517	1.403028401	0	1.091748322	17.05266853	0	0.4020672	0	1.887037999	0	1.278682968	1.534734728	2.672945233	0
1110019D14Rik	0	1.540810569	4.121836436	0	0	0	0	1.262148801	0	0	2.708365619	0	0.367045178	2.64326809	0	0
1110020A21Rik	0	3.153188842	2.16903196	9.890200204	9.863257582	2.308779239	10.91356072	0	2.975956405	6.217330653	1.995310671	4.543111738	2.253416705	4.868379834	2.119733207	0.636539113
1110028F11Rik	0.777641585	0.56885625	0	0	0	1.561946768	0	0	0	0	0	0	1.219594106	0.365953382	0	0.287089729
1110028F18Rik	0	0	0	0	0	0	0.431687711	0	0.193388027	0	0	0	0	0	0	0.579103443
1110032A03Rik	2.360853522	9.066745021	1.979961834	0	0.964660434	6.322582877	52.95151236	0	13.67976112	3.482618639	4.098112825	0	0	1.111003254	4.353660797	0
1110034G24Rik	7.149967668	13.59879675	4.797133908	0	4.674438866	11.48896263	14.16733919	0.642657683	8.285973597	10.78167592	8.825847335	10.04776129	0.373782241	4.710623587	1.172025612	0
1110037F02Rik	9.460668393	15.78765978	13.38916145	4.83320114	5.315326443	15.0435707	0	11.95803944	10.78885029	5.718053541	9.237601334	13.63252784	10.2007091	5.982553434	11.50981863	13.20673279
1110038B12Rik	107.1402625	64.00598608	83.86432572	24.58277266	8.755644615	129.1191649	63.88465087	43.33520406	18.05206638	73.75583176	38.57374788	56.46108307	36.40664409	99.15845514	70.24990188	59.33106502
1110038F14Rik	94.47525565	60.64758448	46.89297327	29.8609711	51.99616999	34.85389007	34.48951362	45.92440049	49.44210405	84.69371012	86.27447788	77.05106404	44.85352628	58.06952298	61.62964009	43.42001904
1110046J04Rik	0	0	3.405687248	1.552901448	2.212387249	3.625110259	0	1.216665961	1.668811736	0	0	7.133328598	0	0	5.547135378	10.99402174
1110051M20Rik	0	0.388771136	0.445716522	0	8.686330939	0.711649993	0	0.955380952	0.262085239	8.362508223	0	0.466784261	0.833502288	0.500204093	2.177930363	0
1110054M08Rik	0	3.603644391	4.131489449	0	2.012909711	1.649128028	0	0	1.214676084	0	0	1.081693271	1.931500033	2.318276111	1.009396765	2.728024769
1110057K04Rik	6.825180039	14.97815855	14.31007458	9.004510633	7.25091616	8.682268456	0.375660753	16.87028548	6.899848863	13.64797791	16.32330728	12.58863538	7.492866449	10.9204194	14.26452522	11.5907122
1110058L19Rik	6.30740776	4.613961484	5.289793087	1.809002136	0	4.22295453	0	21.25973279	4.665667356	10.33820825	9.732249948	0	12.36507517	7.420568962	1.292391061	4.657137737
1110059E24Rik	13.25748207	10.77560333	19.76634168	22.81394921	2.407597889	36.4909996	0	58.25682895	10.16993505	7.726145553	76.14224753	20.05374486	44.27932265	15.94383032	9.054882749	24.4719869
1110059G10Rik	20.02756787	6.867403251	11.02263192	11.12905004	8.694859618	7.123487268	0	18.00129869	6.635723764	10.87372806	14.24402083	10.1693972	9.651944924	12.95917036	5.899009601	7.393777734
1110065P20Rik	0	0	1.157576112	0.791735187	0	3.696470698	0	0	3.743657195	1.809864805	1.064863962	0	3.60783252	0	1.131266191	3.057392589
1190002F15Rik	3.465437377	0	1.453168035	0	5.664002942	0	0	6.229650422	0	0	0	0	0.905821542	3.261627346	1.420139766	0
1190002N15Rik	1.065073665	6.817274105	2.903025054	12.82971794	6.527942631	6.061276129	0.146555246	2.871947701	5.97451501	1.571145928	0	0	2.644769581	5.012171643	5.455853403	2.359223446
1190005I06Rik	17.19499037	15.72298524	8.412140301	34.52138	37.47193227	1.918740239	0	5.151768129	51.58401662	2.818358953	19.89873857	6.292684288	7.490922018	32.36742996	11.7442076	19.04414021
1190007I07Rik	5.624386332	5.142901588	2.35848395	0	2.298161621	1.882827989	0	5.055344661	13.17468859	1.84373928	5.423972857	4.93992542	5.880574076	0	6.914637736	3.114616515
1200014J11Rik	17.07185628	22.03820082	17.96711388	25.1535932	16.41335034	11.43000034	2.303044323	14.29156555	16.59007069	25.67738491	28.40766943	42.18982453	26.33671809	23.15656799	43.07380634	34.23170398
1300002E11Rik	2.656631079	1.360355277	1.336811817	0	5.644688963	1.422940476	0.146222082	0	6.419466455	5.399422381	6.968551538	1.166665892	1.52770155	1.250194367	2.830594314	0.588465055
1300017J02Rik	0	0.676376332	2.326346366	2.917065643	0	2.476229162	0	2.908767543	0	0	0	0.812102025	0	4.351225932	0.378912017	2.3894699
1500004A13Rik	0	0	0	0	0.94738214	0	0	0	0	0	0.447190047	0.254551131	0	0	0	0
1500009C09Rik	0	0.404085125	1.389820899	1.267441623	2.708547625	0.739682424	0	0.496507065	0.817226924	1.086489218	1.278507888	1.940684986	0.577556382	0	2.716464825	1.631465793
1500011B03Rik	3.628845005	11.94549057	5.072300157	26.01935936	9.885134519	8.09865058	19.30753699	7.067017177	14.46540216	14.67145725	9.798707951	4.249642569	1.264712308	6.261611786	7.931223349	9.377879282
1500011K16Rik	0	3.794713083	7.613453737	0	8.478544477	1.736566382	0	0	2.558158756	6.802056627	5.00262848	0	0	0	0	0
1500012F01Rik	42.75448146	20.8503544	51.39449713	24.52448018	4.658604046	47.70851408	5.49085711	37.14787818	29.86901657	42.98061052	37.38278528	45.06175871	25.33109077	42.92266231	31.53749406	29.46365324
1500012K07Rik	0	0	0.671799693	0	0.654617248	0.536312009	0	0.359995983	0.790048268	0	0	0.351776867	0.209380684	0.376962643	0.328265361	0.591452946
1500015A07Rik	0	0	1.892860509	0	7.377789239	1.511110875	0	0	0	0	0	4.955826467	0	9.028093505	8.786733861	4.58280842
1500015O10Rik	33.1636113	39.85517068	6.953278132	26.49638095	3.871677686	4.757957215	135.5966103	11.71040987	21.61111199	3.882649159	11.8789892	4.161108349	14.86036962	3.344269931	9.707486911	13.11786685
1600002D24Rik	2.849011948	1.042047058	0	0.272371202	1.552166946	0.635826337	0	2.133971674	0.351241549	0.622626177	0	0.834100274	0.496463816	0	1.556703996	0.350599421
1600002H07Rik	21.59470403	43.80033852	35.39816975	26.46309285	25.66906046	29.57349049	21.34044072	19.40988141	59.175924	32.49902359	20.44658065	50.00320215	38.48579161	42.95896531	51.08593299	40.22404417
1600002K03Rik	12.92485707	31.90968985	98.91141137	148.2770415	102.9830581	99.51512357	32.01252835	65.34673629	89.23297853	72.02761499	71.04654585	65.2737918	127.5343857	69.94712654	79.4492938	103.7822756
1600010M07Rik	27.3184479	62.44951928	64.43715077	60.72197593	50.23124687	11.43145565	0	24.55453121	25.68073697	118.6577922	35.56576488	65.98328954	77.65508088	14.46288165	48.97868396	31.51695283
1600012H06Rik	46.5583272	40.47889015	53.12921536	48.15910259	33.05817102	51.61244155	66.16522664	36.01657925	14.49105042	45.28667881	74.48870242	39.2164834	27.33208042	44.89767324	43.47657926	27.89593398
1600014C10Rik	0	1.115040692	8.437219974	2.623053098	1.993072339	0	0	0	0	0	0.470392081	2.677582764	2.70932536	2.869286665	3.498071805	7.2030397
