Symbol	X8cell_wt_male_IB105	X8cell_wt_male_IB106	X8cell_wt_male_IB11	X8cell_wt_male_IB112	X8cell_wt_male_IB16	X8cell_wt_female_IB10	X8cell_wt_female_IB107	X8cell_wt_female_IB109	X8cell_wt_female_IB110	X8cell_wt_female_IB111	X8cell_wt_female_IB12	X8cell_wt_female_IB13	X8cell_wt_female_IB14	X8cell_wt_female_IB15	X8cell_KO_male_IB113	X8cell_KO_male_IB117	X8cell_KO_male_IB17	X8cell_KO_male_IB19	X8cell_KO_male_IB20	X8cell_KO_male_IB21	X8cell_KO_female_IB114	X8cell_KO_female_IB115	X8cell_KO_female_IB116	X8cell_KO_female_IB18
0610007P14Rik	33.65885838	33.86252713	35.36301736	14.41277061	20.81407176	23.64912324	29.57269283	32.1760891	7.961299881	25.64736918	26.30507711	43.81237673	36.04181945	19.87484985	39.40052049	53.56884748	26.53322579	31.28744226	35.41556256	32.9637159	31.88094064	30.13541773	29.93293945	13.40812427
0610009B22Rik	10.03415023	10.09486658	1.296169984	12.27610651	14.66624474	9.195803457	6.612007736	17.44021296	23.73368644	39.69944736	6.032223778	5.155676904	17.90757067	12.42329324	15.66108739	22.70185527	26.84748794	10.3635553	40.55758281	8.620104455	25.45748966	28.14191772	19.82978798	11.2962622
0610009O20Rik	0.474040256	12.87653382	2.714732058	3.044770592	4.850110052	0.506840249	5.1020276	3.604661321	2.616234154	3.403701001	0.997424689	2.841627245	4.230009116	0.948085063	1.035820672	16.82710384	0.859203193	5.712026111	1.277366228	7.126646258	1.683752436	1.968682568	1.639421947	6.034528908
0610010F05Rik	0	0	0	1.178684139	0	0	0.423232379	0	0.253197541	0	3.475085437	0	0	0.550530553	0	0	0	0.796041204	0.865359053	0	2.607240487	0	0	0.50058687
0610010K14Rik	89.86930987	136.2475284	121.8939264	93.5330404	107.5687311	85.41118655	90.19995219	89.21872362	84.96122509	103.0654084	57.77852895	73.32581008	104.6966638	64.90592417	132.2787244	139.7376917	137.7519061	123.0289092	150.2320728	91.57326737	82.7577539	149.8558897	100.3638674	65.07081023
0610011F06Rik	18.2672085	29.68712305	8.047121907	12.03391452	6.635491548	12.01917591	21.60520407	19.23315717	25.85050105	23.06146826	17.73964699	6.738615929	20.06203091	11.24141303	5.373239909	6.906406499	13.01741689	28.10683092	7.57284442	12.67506111	39.92839315	39.78852898	34.01750003	16.18420189
0610012G03Rik	35.63648383	65.46908713	87.33066422	81.27391722	67.98371589	90.28578615	79.80706822	41.23673739	59.14598155	58.40667619	71.72236157	72.44584746	84.33792751	48.54848633	87.60254406	127.3457056	45.71332209	129.1957016	75.15185782	128.1149107	83.46803034	89.5006579	77.02831263	115.0567102
0610030E20Rik	5.656157501	8.288166168	5.707455441	7.371227094	11.99992037	10.78036303	10.58720272	5.236015598	6.559969079	6.558509383	3.104629631	15.62612907	6.14437578	10.65657977	14.23996369	7.520772972	6.141203542	12.50492435	6.295315045	16.41521618	9.60836198	5.013663755	9.568011774	9.83889774
0610037L13Rik	41.14583848	34.74207329	34.32635853	28.31577758	21.10686687	25.92433953	37.28046915	21.2310136	32.44062879	12.43540609	26.28159392	18.49860862	28.84806217	35.26803081	36.12349461	29.29149538	22.19562084	37.18451659	39.26755008	36.23111601	25.2276993	39.3907292	29.22208843	30.73235446
0610038B21Rik	0.74825527	0	0	0	0.294450845	6.400230903	2.300961326	2.275930615	4.129630273	1.535033713	0	3.588324044	0	2.993035445	0	0.408630311	0	0.721298005	0	8.099389018	0	0	0.64694195	2.721509707
0610039K10Rik	3.594929894	0.602780451	0	0	0	0	3.684925447	0	0	0	0	1.436650241	0	0.798877144	0.65460381	0	1.689294465	0	0	0	0	0	0	0
0610040B10Rik	0	0	0	0	0	0	0	0	0	2.656654937	0	0	0	0	0	0	0	0	5.815887145	3.114992292	0	1.955666485	0	1.570022456
0610040F04Rik	0	0	0	0	0	0.509809187	0.733130565	0.725155298	0	0.489091286	0	0.571654552	0	0	0	0	0.096026242	0	0.428282903	0	0	0	0	0
0610040J01Rik	6.094079019	8.583335754	0	1.304746614	7.434175268	1.954722927	0.936995749	2.780408283	2.242219931	5.938405154	5.129003105	10.95925973	4.350349483	7.312929918	0	5.990476653	3.68186181	1.174905734	5.20008733	2.565287769	7.215224342	5.52188184	4.7420499	9.235426213
0610043K17Rik	0	0	0	0	0.725645044	5.914776496	0	0	0	0	0	0	0	0	0	6.042174402	1.114090871	0	0.828152215	0	0	0	0	0
1110001J03Rik	18.08877423	33.79671075	34.2706168	33.19559412	22.37158734	16.57746882	31.78561542	23.57987977	21.39260852	6.626576941	29.90464679	6.196164987	41.50588537	32.73222474	42.34885876	26.81300523	36.94941742	14.32332643	23.21079677	17.09360849	15.29758449	33.17094174	15.63956493	17.23108546
1110002L01Rik	1.035993433	1.215972565	0.624518265	0.739356415	1.223041738	1.846127209	1.061928515	1.050376462	0.635295647	0	0	1.242049436	0.61629951	1.841774942	1.320514414	0.37717816	0.278185114	0.08322249	2.326354858	0.207666153	0.408862713	1.303777657	0	2.51203593
1110004E09Rik	31.35594914	38.93920252	55.82001171	31.4687382	47.81395615	40.85925569	33.14531823	23.84345538	44.16479197	37.1886005	26.8026796	18.79627693	38.47235118	66.63171169	31.0461195	61.53874101	17.36563999	43.68644011	21.56328923	38.30128097	41.7651679	21.086894	32.19356701	51.08310382
1110004F10Rik	74.88752531	33.57573226	38.5193944	29.62706776	40.68069779	40.03458719	20.02493771	77.99045234	66.63797555	39.66006299	35.96713427	59.52965511	50.84470958	18.99330409	24.90112895	62.67892774	48.3595016	42.76447069	76.76971031	63.14534374	79.02732148	52.55155226	58.413775	99.67399707
1110007C09Rik	2.834807902	3.56495155	0	3.034671851	0	0	0	0	2.60755676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	19.53587617	15.83245911	40.89107686	18.58953271	18.79213336	16.24591944	31.70615138	18.15650742	22.96139982	36.73774256	19.41083437	10.40955718	9.684706586	5.788435533	30.23708515	32.59896951	12.45871906	38.44879016	15.59765543	24.80127196	20.55995355	23.76600414	30.96633855	32.23779443
1110008L16Rik	6.946507139	6.62072234	4.40789279	13.30699225	13.52395633	6.254444443	15.73984517	7.228288457	11.77039577	25.31365147	3.846340955	10.95808774	16.96454859	8.530839182	0.998601578	9.184415244	13.5478025	10.92545483	12.64307067	9.453906666	5.62727314	12.14684092	8.850879861	9.751567132
1110008P14Rik	81.52337975	106.4471743	37.64219678	66.84592241	54.60561791	40.8002543	34.67026887	63.31036212	67.01063675	81.84276397	91.24082769	18.71581342	24.76454652	31.22186974	30.32100938	75.78008687	59.0349461	40.96522543	45.18156467	62.58432001	65.71674652	56.9732976	56.9880037	71.49934838
1110012L19Rik	14.0158052	25.48957222	2.274735402	2.308302903	5.515451544	3.458213694	1.657693519	9.837963082	10.90881362	16.0354385	13.61102527	15.51092957	3.848227783	13.65649112	28.85892428	1.766349943	19.10713275	8.31437549	13.55756474	5.835084898	19.14730774	16.68884739	0.932159499	9.149799744
1110017D15Rik	0	0	0.266267477	0	0	0	0	2.687009555	0	0.453072935	0	0	0	0	0.482580018	0.482437181	0	0	1.983713445	0	2.09185574	0.667049034	0	0
1110019D14Rik	0.760742841	0	0	0	0	0	0	0	0	5.462281179	0	0	0	0	0.415572913	0	3.370533931	0	0	0	0	0	0	0
1110020A21Rik	14.94547904	10.80706296	0.563090239	7.999593994	13.2329106	12.98341923	4.308644385	9.944137821	8.59211326	2.395344616	1.965417173	4.479522556	8.335198291	4.359118972	17.85941626	21.93507412	3.57422268	9.679730543	4.195066137	8.425798821	6.635640748	13.75378561	0	30.01059318
1110028F11Rik	0	2.754962928	0.761889195	0.901987493	1.326280627	0.900882779	1.943270296	0	0	0	1.772871683	0	0.751862619	1.685173006	3.912377007	3.451075583	2.630160556	3.147379178	1.513635693	0.760035088	0	3.658289247	5.463729706	0
1110032A03Rik	2.558008477	0	0	4.107535636	0.754964036	2.735003273	3.933068575	6.80799559	6.470603813	3.935785092	0	0.766697183	2.282590778	0	0	0	2.060630478	0.308231443	1.148817214	2.691968647	2.271459515	0	0	3.876598657
1110034G24Rik	5.422943192	8.963029785	0	3.317302744	11.58466908	6.626479718	10.72035245	14.13830996	9.976430624	4.370567606	8.965295196	15.78947957	6.912944878	6.197679106	9.310415311	5.076905208	2.964345119	18.1098021	8.002281157	3.72697922	10.08954213	24.86129386	3.349057071	7.983526833
1110037F02Rik	4.324526348	6.928882923	9.462131967	4.115040621	11.97543796	23.29000398	7.634243647	6.820434654	5.303803434	19.30415464	15.83935639	11.90551954	6.860284075	13.98804124	9.536974897	6.122849956	5.61257529	8.877845333	23.01832495	15.79605367	13.84329269	8.103028528	6.37012778	13.10742571
1110038B12Rik	164.4573616	85.64599392	38.48898644	161.55377	47.96649259	105.5019386	139.8175829	117.6992301	215.3425737	56.5610406	87.52613321	69.5885083	148.4769108	68.36299605	126.8308775	85.58550261	83.38468924	46.62720126	69.51416893	63.99220157	135.1537694	121.9884324	120.4432368	34.01271059
1110038F14Rik	38.64796767	14.71204204	36.8357015	42.49096901	38.63810439	42.43892796	46.57495825	15.88562019	40.35379316	23.03570642	42.85726357	52.59641058	31.69056142	32.03270351	37.0892159	29.09215594	24.82247562	42.7935991	37.99784012	32.6631639	51.94167918	70.984778	36.12438461	26.59396424
