Symbol	E2.5_wt_male_IB118	E2.5_wt_male_IB119	E2.5_wt_male_IB22	E2.5_wt_male_IB23	E2.5_wt_male_IB25	E2.5_wt_male_IB26	E2.5_wt_female_IB120	E2.5_wt_female_IB121	E2.5_wt_female_IB122	E2.5_wt_female_IB123	E2.5_wt_female_IB124	E2.5_wt_female_IB24	E2.5_KO_male_IB27	E2.5_KO_male_IB28	E2.5_KO_female_IB125	E2.5_KO_female_IB126	E2.5_KO_female_IB127	E2.5_KO_female_IB128	E2.5_KO_female_IB29	E2.5_KO_female_IB30
0610007P14Rik	28.12194966	18.73821244	23.62391846	30.85095298	28.24755513	33.00998817	20.56499767	27.72306452	13.59269417	17.64921604	19.7765087	16.19529555	39.62343719	10.94962463	25.27179328	37.68739879	19.65778317	30.46130422	46.08289608	25.1484889
0610009B22Rik	19.91087096	16.55143293	39.04051168	20.33968852	36.28183566	18.45133773	10.61082246	21.67767	11.75126881	21.98283073	22.67553248	5.747656552	13.42303404	36.13966405	30.13542142	31.26752684	27.79859711	23.99956664	15.5105548	18.13813716
0610009O20Rik	7.277607292	4.789347143	1.772050239	3.509379811	5.776988531	3.661101537	8.96741027	1.344146291	2.680090282	0.119175353	0	6.082378647	5.326778067	8.096072289	1.868577893	6.133978216	4.223794126	4.075566107	2.198281031	2.132714963
0610010F05Rik	0.402469932	0	0.881989394	0	0.043007186	0	0	0.260171311	0	0.207606919	0	0.220743331	0.515522322	0	1.446718601	0	0.288547914	0.249114186	0	0
0610010K14Rik	115.887536	63.95438334	86.65328442	111.6556786	91.07254417	65.33754093	130.3786892	86.12154834	83.97694496	86.29444216	122.9116931	118.1133978	88.83019897	147.1928691	141.0431793	118.1347961	145.8889402	109.5720423	124.3400757	173.030809
0610011F06Rik	14.38172456	11.15461475	11.25596823	11.26953739	21.51525945	21.70477952	41.60593762	24.57030914	14.29998356	17.66322737	18.33824274	29.29816546	5.26328585	1.142795948	16.6167494	23.37762069	28.72314804	31.79200766	26.30628708	16.59494177
0610012G03Rik	73.62655242	83.30217487	69.09016854	61.65391058	62.94076786	45.87120467	77.73575572	58.21222544	32.63078241	48.30142209	37.07125844	68.33889401	58.51931835	73.08611255	46.82411461	94.230582	36.95021786	70.46154943	114.030771	81.03591938
0610030E20Rik	6.831740359	7.098828863	6.041075395	6.523730575	8.183987172	9.074363116	6.674697336	8.832574592	7.299399967	7.295362681	1.167051035	6.70518587	5.680312851	2.600021078	2.261863673	10.18288037	3.609028284	8.123358781	7.729456757	7.952233203
0610037L13Rik	44.58308121	31.81428719	47.47730144	36.71612263	26.97723471	26.48141701	39.88465178	26.04229274	32.4016176	21.42728276	36.61199369	40.066836	36.2361338	17.32908955	43.44353245	32.86867678	37.74005786	38.23444996	41.64434672	51.65061624
0610038B21Rik	1.094041705	1.079972848	0.399588104	0.461619012	0.116907255	1.926305121	1.230846115	2.121685938	2.961297391	1.504911611	0	0.600050815	0.467118059	0	0	1.936452217	0.392182653	0	0	0
0610039K10Rik	0	0	0	0.739269985	0	0	0.985582878	0	1.016236126	1.506296256	0.947794339	0	0	0	0	0	1.256139182	1.084471849	0	0
0610040B10Rik	0	14.95271498	0	0	4.046585207	0	0	1.223987759	0	0	8.194112872	2.076994072	0	0	0	0	2.71497355	2.343938019	0	0
0610040F04Rik	1.742913721	0	0.254632921	0	0.521484621	0	0	0.225336659	0.539157911	0.119873451	0	0	0.595331217	0.775571141	0	0	0	1.078799925	0	0
0610040J01Rik	2.227574221	0	4.556159118	4.135563268	0.952137696	1.568857058	2.004896935	0	3.617691919	1.225657959	0	1.466113463	4.565267192	0.495618991	0	0	3.513495183	0.275757414	4.605374813	0
0610043K17Rik	8.088473384	0	0	0	0	0	0	0.871447595	0	0	0	0	0	1.499688533	0	0	0	1.668823185	0	0
1110001J03Rik	39.67203612	14.91880859	31.73961834	14.34787256	30.6843105	33.26261563	53.13431502	13.43333504	25.56721047	16.2413576	39.85571907	37.30111803	9.679194613	73.55615187	54.3257597	61.14346306	8.126451443	28.0634756	15.09017371	26.88502416
1110002L01Rik	0.504916823	0.498423833	0	0.852176673	0.539544694	1.185358666	0.852081197	0.815991839	0.195240516	0.781356949	0.136568548	0.553865086	1.077910309	0	1.814974245	0.510686879	0.180998237	0.625050138	0	1.359444219
1110004E09Rik	47.27896996	44.54957644	28.78030741	45.33829034	39.34547336	21.86237609	40.29618731	32.41515303	18.83575746	37.44421951	21.70066006	33.0033108	24.46847133	32.67335172	54.07468407	31.51724053	49.81731347	27.04698901	27.43227345	39.95172945
