Symbol	E3_wt_male_IB130	E3_wt_male_IB131	E3_wt_male_IB132	E3_wt_male_IB133	E3_wt_male_IB134	E3_wt_male_IB32	E3_wt_male_IB34	E3_wt_male_IB35	E3_wt_male_IB36	E3_wt_female_IB129	E3_wt_female_IB135	E3_wt_female_IB31	E3_wt_female_IB33	E3_KO_male_IB136	E3_KO_male_IB138	E3_KO_male_IB139	E3_KO_male_IB38	E3_KO_female_IB137	E3_KO_female_IB37	E3_KO_female_IB39	E3_KO_female_IB40	E3_KO_female_IB41
0610007P14Rik	24.21193003	36.39692564	36.24228621	30.76133021	17.68364022	12.52113199	30.0330795	25.71873593	10.64089875	37.49837828	8.763154483	23.83753788	18.70668242	15.04925645	24.83839908	24.47522949	52.46211726	6.817867182	22.44951676	10.43127547	23.93641324	32.78055107
0610009B22Rik	36.08948061	39.01268943	42.16313831	101.3004753	36.90208695	16.17509755	62.24645802	17.4252156	20.74125838	41.92035685	23.81905142	52.11275578	17.92513639	79.04578007	76.04780625	117.5529366	59.43067019	40.64992509	54.37654178	27.20988365	46.28601683	17.62220778
0610009L18Rik	0	0	0	0	0	0	0	0	0	0	1.97364593	1.216908234	2.557975844	0	2.57027489	0	0	0	0	0	0	0
0610009O20Rik	6.40940235	0	8.93242703	8.110514016	3.486707764	3.977525428	5.075711795	10.3724973	10.89388057	6.41806166	2.540945988	6.893451055	5.927821726	3.179231441	5.294509674	4.021512333	13.44723655	3.36072072	11.06600556	3.856404356	4.677056955	5.297857808
0610010F05Rik	0	0	0.506034042	1.638116	0	0	0	0.669229295	0.468579153	0.447217978	11.36109734	1.000715962	0	5.948558753	4.227295104	2.140597265	0	1.951490969	1.60644187	0.746440908	0.123448012	0.461451093
0610010K14Rik	96.60315517	90.76499289	127.3509769	63.13833741	50.49424979	99.67534206	127.3363097	122.9021641	95.61478236	121.6746393	88.31471067	149.7456898	109.2589091	90.22254122	108.0416317	97.06541817	81.70989128	108.4007278	80.12854627	104.9268632	130.4276245	129.7319459
0610011F06Rik	16.37846342	7.170565991	34.87329546	29.26794186	10.33544447	10.16409194	21.31465163	20.49772587	37.07610885	36.52739685	8.285175795	50.1558257	37.09538089	19.89513293	27.46486091	6.95376177	18.39731954	12.45248553	32.80231487	30.48350538	27.7278543	8.637272003
0610012G03Rik	53.45681054	33.9326359	56.25543638	53.01883262	28.49097711	39.45021962	63.82576271	72.51424696	40.22263067	67.54785199	68.51744633	93.96624553	55.9728936	50.22508478	89.23012438	50.38691592	118.3339939	68.65374415	83.64200054	77.72931219	86.8583904	111.6893591
0610030E20Rik	8.140598208	4.496819662	13.67569557	4.939269706	4.220566699	7.897986363	9.728021649	9.865138783	7.535286689	11.71992905	7.909064507	6.745910052	12.30080572	6.230702082	9.269962072	5.041788121	10.73243141	6.102094117	13.6343027	6.001810146	4.797529663	11.13098904
0610037L13Rik	16.10052586	11.56066912	34.78127599	19.12983627	22.51785263	38.05315441	39.33594828	18.75654251	36.89720955	23.47678127	8.270607172	22.09775111	22.45939075	26.28109996	21.5415882	22.85511974	19.23949213	18.23153071	21.43993985	23.90920973	53.05160402	21.34992292
