Symbol	E3.5_wt_male_IB140	E3.5_wt_male_IB141	E3.5_wt_male_IB142	E3.5_wt_male_IB144	E3.5_wt_male_IB145	E3.5_wt_male_IB44	E3.5_wt_male_IB45	E3.5_wt_male_IB46	E3.5_wt_male_IB47	E3.5_wt_male_IB48	E3.5_wt_male_IB49	E3.5_wt_male_IB50	E3.5_wt_female_IB146	E3.5_wt_female_IB147	E3.5_wt_female_IB148	E3.5_wt_female_IB42	E3.5_wt_female_IB43	E3.5_KO_male_IB152	E3.5_KO_male_IB153	E3.5_KO_male_IB154	E3.5_KO_male_IB51	E3.5_KO_male_IB52	E3.5_KO_female_IB151	E3.5_KO_female_IB53	E3.5_KO_female_IB54	E3.5_KO_female_IB55
0610007P14Rik	68.50486491	54.13330458	39.33459739	73.95820598	46.98000729	44.31626566	47.97864941	39.56802516	20.21950732	29.77025768	87.14368652	46.4309836	25.76048549	31.82743923	41.4588005	52.85347943	47.23429239	40.4970571	63.06710368	11.50944371	12.91659877	38.05954057	22.31083169	35.99618804	48.08274522	26.64407701
0610009B22Rik	69.49222539	38.5905182	33.50332284	110.23959	48.48009461	40.36775142	31.28796359	44.93619389	24.11080873	41.6011266	41.18571839	47.18757767	30.71816383	31.62726666	97.84537666	46.34211848	51.20424149	62.51937859	43.38723824	150.1113767	79.76260858	68.0763103	99.76730399	89.22353838	75.49757293	84.15745977
0610009L18Rik	0	0	0	54.08825614	6.918268751	0	0	0	0	0	1.356308609	0	0	0	0	0	0	2.76880987	0	0	0	0.633568246	0	0	2.234188132	0
0610009O20Rik	17.35299849	13.92200664	13.8493873	0.409619146	3.562735738	15.77676263	13.30314829	12.53841777	7.973416364	17.42609587	18.16009213	14.04438928	12.69807625	2.614775062	8.515092657	6.130113842	10.58323939	17.11041574	11.95675763	10.28291475	12.73391809	14.35596068	18.32940624	4.784776252	14.72705441	9.693865075
0610010F05Rik	0.544674349	4.042089851	2.144536366	0	9.309583384	4.228242738	1.716627402	2.426920798	3.472480605	1.597724427	3.447448185	3.322506979	16.22163905	9.110027896	3.955610193	1.779806	2.458174637	4.139838912	6.943006119	11.73619226	3.697142402	3.315520784	19.86777766	1.852270871	2.806010775	2.90528928
0610010K14Rik	169.1831309	79.42507329	97.24403673	113.248702	51.59528141	115.0378419	101.1926471	121.0536398	52.48656336	99.01341522	99.3120954	80.80808071	73.55704892	61.96415469	94.16778482	88.77586552	94.7460739	80.72005729	56.66953077	182.9944822	76.63862078	78.60756865	124.678776	117.062809	103.9115272	139.1507871
0610011F06Rik	11.1218338	20.63409615	27.36862069	16.99894204	21.12161952	43.16874213	39.4337466	30.28414115	59.08783273	35.34300398	30.02107994	32.37963869	0	15.50165043	5.048158508	22.71392367	31.37127928	14.7931605	14.17708771	22.07248048	24.26554974	30.46517988	38.93849941	37.2309871	36.49247411	23.17335392
0610012G03Rik	66.68280316	72.04867157	66.39169686	37.48780963	29.1122254	73.38343786	57.97556038	87.27675745	32.57663654	61.45428151	79.90326582	77.35747353	45.65437503	38.45905726	64.01312076	87.65937775	72.64231915	61.75142448	54.71334257	165.1523996	77.29637917	51.72173784	110.3344693	133.9103067	93.07497137	110.8962349
0610030E20Rik	12.40856085	7.22237893	7.663686278	0	7.393022627	6.295829713	9.201774851	8.913722913	10.34100827	7.137008124	9.964507246	10.5240314	1.317487065	6.782390212	7.951339868	3.975181721	5.490312363	5.547777221	7.443429952	11.95666408	12.74019908	10.40957823	6.814657537	6.205547103	11.34065024	13.30232527
0610037L13Rik	46.52382831	10.78933074	25.75932462	52.69640717	30.37169047	28.21554632	29.78365144	30.95067271	24.71707665	42.64718974	23.81716393	33.05564355	27.55425237	20.26408526	13.19811912	14.25221826	39.36883171	26.5205928	33.35865996	53.31048546	29.6057438	37.16974558	25.09549009	38.93530695	43.33460686	25.20352499
