Symbol	E4_wt_male_IB57	E4_wt_male_IB58	E4_wt_female_IB155	E4_wt_female_IB156	E4_wt_female_IB157	E4_wt_female_IB158	E4_wt_female_IB59	E4_KO_male_IB161	E4_KO_male_IB162	E4_KO_male_IB60	E4_KO_male_IB62	E4_KO_male_IB63	E4_KO_male_IB64	E4_KO_female_IB159	E4_KO_female_IB160	E4_KO_female_IB163	E4_KO_female_IB61
0610007P14Rik	34.85634117	72.7413904	53.73607402	35.97957998	34.69170537	19.4686544	40.50939614	43.44088325	49.05482881	49.56662633	52.82126463	48.17140453	29.30572996	52.79703615	23.02013403	57.58918619	68.04352698
0610009B22Rik	31.17340701	82.36194076	36.61584774	35.75329332	57.25066473	64.59137865	39.37951962	80.6090167	87.63172141	57.78914906	78.73358313	87.18894379	111.7254371	204.0021769	56.86159252	65.26714567	97.44598333
0610009L18Rik	0	1.338985765	1.469587992	3.826584301	1.185947117	0	3.371752084	0.848594617	7.168663091	9.394976279	4.444829384	1.646754973	9.710004039	1.962591961	2.518242218	4.555680692	0
0610009O20Rik	13.05807856	19.65201113	18.1632273	11.82357246	13.13076307	15.47847369	26.91370663	18.79121707	19.01216525	17.6593508	12.01712503	17.80879192	11.66762271	16.17097403	8.753615263	15.01479587	19.07210046
0610010F05Rik	7.183437267	7.407437435	7.251032348	5.149251483	10.99378707	6.471347956	3.528937628	18.52436954	7.717221658	6.040243566	3.821318595	4.67813653	0.483936594	0	17.69643016	9.26365757	4.964528432
0610010K14Rik	99.52955249	128.0014662	89.67223117	77.83096437	49.85134552	51.35259139	98.29783705	105.8614814	90.88655627	100.0035027	178.5514253	102.715665	135.322029	126.4076893	52.92721787	86.48308626	110.8266453
0610011F06Rik	30.55839528	30.65963707	32.52845136	20.44462364	26.25023021	22.9409684	46.32313406	49.22476591	48.69652507	50.19535415	44.95114599	43.99130269	29.64484587	44.93875798	30.75298511	73.0200904	87.72566129
0610012G03Rik	41.55747868	80.00963344	36.48594363	72.46057491	38.42678276	60.20421263	69.52318998	89.98679612	120.9652198	85.78935409	130.4599727	83.15496898	152.0896584	111.4915005	51.92440837	72.080717	95.65602396
0610030E20Rik	4.9915123	7.690933128	10.01152856	13.28982472	9.504979699	6.263270518	6.755873565	16.20954892	7.086054846	10.54167429	9.499695774	12.31832421	16.14096677	1.704032964	10.59601767	9.736612338	11.59999705
0610037L13Rik	18.10911651	36.3382262	24.63336469	13.74461711	27.45188485	22.55166712	32.29577625	32.51249936	33.18753608	27.74637546	43.01755169	31.54634671	12.05629272	31.72224318	18.59294053	33.45414624	34.65788931
0610038B21Rik	0	2.721051178	2.389166034	0	0	1.4659324	1.37039694	0.344898272	0.874077962	1.909222034	0	0	5.700474393	0	0	0	0
0610039K10Rik	0	0	0	0	0	2.347649889	0	0.552344971	0	0.611513177	0	0	0	0	0.819554118	0	0
0610040B10Rik	0	5.651128559	0	0	3.336823934	0	4.743442137	7.162910016	4.03400223	2.643404689	0	2.316684837	3.035602273	5.52202011	1.771354469	5.127211543	7.186415283
0610040F04Rik	0	0.346791711	0	0	0	0	0	0.219782455	0.371330749	0.729977864	0	0.426502648	0	0.508303106	0	1.415882685	0
0610040J01Rik	0	2.216128847	0.972914404	0	2.35540513	0	3.348312096	0	5.932356221	0.621977574	0	2.180409258	1.071389037	0	2.083946434	0.301600679	0
0610043K17Rik	2.673447526	1.341152409	1.471965967	0	1.187866125	0	0	0.849967747	2.872105148	0.941017851	0	1.649419625	6.48381068	0	0	0	0
1110001J03Rik	33.71817493	78.93639892	30.94132542	21.48440528	29.96331696	40.50095319	66.25760445	73.84889842	80.49709666	85.71584367	143.4944126	62.40865274	171.1226134	118.4542182	44.18344481	60.10812625	82.4563749
1110002L01Rik	1.001327619	1.004645077	0.275659081	0.717774449	0	0	0.632458952	0	0.537866964	0.881134896	0.416871119	1.853347869	1.416614394	0	0.944722384	0.683628206	0
1110004E09Rik	17.04753814	27.08136128	35.19808558	36.66019113	18.9364041	21.11673731	35.89190955	20.32468018	6.104766918	19.50164423	45.54039186	20.15894286	28.13739682	35.51565814	14.07335795	20.3677707	23.11022628
1110004F10Rik	119.1937484	95.3157017	113.0596031	160.730207	113.2613381	84.52042669	83.4845816	111.4344144	90.96675029	97.20176672	112.5105375	117.2242527	103.9910607	127.5586645	144.1882538	125.2870763	146.8081979
1110007C09Rik	8.219853589	0	4.525746106	2.946089157	4.565306377	4.62814064	5.191827214	11.1066681	7.726820192	5.786557529	5.988633619	1.267837473	9.967649254	3.022001055	2.908193905	4.208904998	1.966432043
1110008F13Rik	92.83737496	54.46611526	68.44221183	49.6289762	53.8340928	65.20653464	61.61957214	51.52747332	86.21239052	42.64692899	47.82107271	51.45246704	54.06263096	121.4844424	33.40268428	57.47359986	37.64312767
1110008L16Rik	2.650289656	8.243117693	3.210274187	3.799576006	8.007521022	13.60913887	6.026317248	13.31316181	4.697923675	6.90321276	1.544710115	6.213501839	1.285529355	20.07202048	12.75238829	4.885408496	9.637220367
1110008P14Rik	77.95724157	151.3848746	71.99862755	97.34201434	61.45444383	74.76032113	108.0089716	60.7629911	79.02223547	80.54940926	94.22429413	80.67846128	132.1434171	122.963705	48.63810445	61.80748161	81.8179396
1110012L19Rik	23.44641303	50.18473044	20.65487154	33.61384601	13.19576541	28.16291447	25.66933682	29.81722239	29.38677121	24.75847344	42.29841775	27.9667914	59.39096973	76.43060946	34.65620664	40.55202318	37.39383544
1110015O18Rik	0	0	0	0	0	0	0	0.685296892	1.44729369	0.758707152	0	0	0	3.962310581	3.05047345	0	0
1110017D15Rik	0	0.642505573	0	1.836167196	0	0	0	0	0	0.450813203	0	0	0	0	1.208365839	0	0
1110019D14Rik	6.617585733	13.8323129	8.501635209	6.324848284	8.820976487	18.87836486	4.17980215	25.59776031	30.51084464	41.15099957	39.02948899	17.01170441	44.58160881	81.09775862	33.8189171	21.83685557	14.77580712
1110020A21Rik	2.708509133	3.396853232	0	0	0.601722349	1.830012332	0	0	1.091164538	2.383397671	2.819005521	0.835525679	1.094807377	6.472531768	7.027340681	1.386868696	2.591821905
1110028F18Rik	0	0	2.713422721	0	0	0	0	0	0.330902495	0.433668182	0	0	0	0.452962127	0	0	0
1110032A03Rik	1.854310406	8.37204231	3.062878678	0	1.647814288	5.429105047	1.171220281	8.843098785	8.715436917	10.116734	13.12372043	3.432125684	10.49343996	16.36154107	10.49691537	7.595868952	5.32327058
1110032F04Rik	0	0	0	0	0	0	0.809586711	0	0	0	0	0	0	0	0	0.437543266	0
1110034G24Rik	15.72445139	7.324825597	12.36811648	9.661409989	8.982884281	10.11835506	7.094203059	16.78325166	6.033178047	13.0463073	30.39390045	13.8591615	20.42995411	25.60175197	12.18634074	14.18609856	18.27137536
1110036E04Rik	0	0	0	0	0	1.915585624	0	0	0	0	0	0	0	1.563506337	0	0	0
1110037F02Rik	8.359643088	6.872958416	8.566159215	7.656933337	10.11130345	13.49296513	9.386881979	8.933083374	7.047455759	10.21695418	8.217311948	9.169057624	11.54510155	9.647042862	10.95426516	8.402429598	6.221829676
1110038B12Rik	89.76247586	130.8682403	134.3662515	48.25784072	64.81029848	70.75633418	124.0220864	100.7752931	149.1690468	102.6843791	162.3249427	110.760348	181.414601	269.1633232	79.39517485	82.34876264	96.63227342
1110038F14Rik	10.60067278	40.26407516	27.51537481	19.53978106	19.51323254	32.74229213	9.565144547	28.8879964	30.91132781	19.72256111	38.4583668	26.16091401	39.78837076	51.22167141	21.43160311	22.74583306	23.18623446
1110046J04Rik	0	4.266832374	0	6.096925823	0	5.746756872	8.058357298	1.352072247	1.713282801	3.742271761	0.885247551	2.623787202	2.578503861	1.563506337	1.003083612	1.451720128	0
1110051M20Rik	1.669722659	2.931695463	2.298319776	2.393790482	4.451346733	6.016816694	4.218523578	1.327135088	0.896897919	1.763160278	2.085408834	1.030157987	2.699676604	0	0	1.139956078	0.798894069
1110054M08Rik	1.934649381	0.970529495	0	5.547203003	0.859603355	0.871434444	2.443928033	0.615082047	0	1.361941526	2.416290447	1.193608113	0.782005269	13.51407732	3.650566587	2.641654659	0
