Symbol	troph_wt_male_IB178	troph_wt_male_IB179	troph_wt_male_IB182	troph_wt_male_IB82	troph_wt_male_IB83	troph_wt_female_IB180	troph_wt_female_IB181	troph_wt_female_IB84	troph_KO_male_IB183	troph_KO_male_IB184	troph_KO_male_IB190	troph_KO_male_IB85	troph_KO_male_IB86	troph_KO_male_IB88	troph_KO_male_IB90	troph_KO_male_IB91	troph_KO_male_IB93	troph_KO_female_IB186	troph_KO_female_IB187	troph_KO_female_IB189	troph_KO_female_IB191	troph_KO_female_IB87	troph_KO_female_IB94
0610007P14Rik	58.15886746	59.4408477	119.872696	9.1489389	11.24289491	92.23116612	46.55288037	24.87743593	6.159080642	3.423839013	44.8059047	34.35424482	63.36396032	26.37652641	10.55235388	103.0667206	14.07287719	18.24972958	89.64802552	29.67591502	61.93192674	98.83417262	35.54092729
0610009B22Rik	23.87858144	35.44020354	22.72207936	6.818548803	16.75827732	8.775104926	15.66874184	15.89205476	9.180516429	0	15.26540796	196.4344478	270.3171684	11.96572527	306.7151161	63.0453516	20.97655279	7.772122033	7.860370717	2.948927405	25.27635015	34.56643668	31.7856595
0610009L18Rik	0.666694958	3.251207225	2.652967115	0	0	0	0	3.401772625	0	0	0	1.078147729	0	0	0	0	0	0	1.442186642	0	0	22.19734827	0
0610009O20Rik	9.784941023	11.16193717	8.538824066	4.509772295	0	2.625543933	7.402335254	4.379569998	3.03598609	1.687707666	8.203410529	8.050677989	0	4.522344469	5.851749903	3.834303328	2.89038399	1.285115852	8.169591386	5.851241148	10.53943161	1.088674319	8.175596003
0610010F05Rik	3.389193743	3.564809983	3.371639246	1.309359009	0	4.814498562	3.0088526	5.086225254	1.762925256	1.960023783	1.465700402	0	4.586313637	10.50407353	2.831643874	6.81862311	9.398914355	8.954836255	10.99719568	5.662795379	8.019308319	10.27272035	4.069178632
0610010K14Rik	26.2165196	25.71646752	29.67807189	17.81187174	25.5366411	22.55906336	35.08366387	46.12699354	0	22.21932766	41.53888051	0	17.96074035	19.34998759	3.424025013	44.8010836	38.05302909	37.22190974	31.28897372	23.11015945	45.93292642	73.09738565	33.82811152
0610011F06Rik	27.98721314	33.08667936	6.074673161	33.42013747	4.106914448	44.238771	15.35961747	18.17494548	8.999396499	15.00832021	48.63378277	13.16643047	75.55773066	13.40532195	53.96533627	111.5269294	51.40678012	11.4281819	20.91437373	40.47048337	49.55535973	162.9682363	6.924126402
0610012G03Rik	78.27252618	83.45501945	75.91345467	47.9059836	43.02069662	86.94572012	49.59916872	70.14219273	39.69278347	41.37235789	90.75186447	48.09081244	364.9380298	80.37383591	321.4329668	229.1100502	72.74414679	21.00216525	61.29440291	23.9061586	59.39378232	191.2617976	55.35300097
0610030E20Rik	6.233899989	6.080052182	2.835022261	4.679107724	2.875017365	6.236822371	4.992183456	8.633631387	10.23744468	0.875539325	8.511436734	2.016233971	15.2721167	13.1966774	4.216301841	5.470129327	9.896415309	4.000110282	11.94394453	7.588683492	8.1071103	20.33194438	4.241288906
0610037L13Rik	17.56102891	17.73315886	32.29316096	20.97000502	12.884749	17.77732641	32.12546683	9.503469236	14.1170417	10.4635699	24.45196513	3.012001361	100.1617995	33.29506866	31.74508297	71.68799902	15.23200682	29.87832213	33.38322684	19.6500095	40.55779673	93.22940793	16.29245603
0610038B21Rik	2.980647388	0	1.07825781	0	4.37387737	0	3.505294934	0	2.396096704	0	1.992120704	0	0	0	0	0.75653851	2.73741948	2.028508541	0.58615465	0	1.720976765	2.57764911	0
0610040B10Rik	2.813755768	1.524619146	3.732242374	0	0	0	0	0	16.587524	0	10.34318125	177.4606659	0	6.177111422	0	0	0	7.0214057	0	5.328175652	0	0	0
0610040F04Rik	0	0	0.343553691	0	0	0.416987951	1.489139243	2.64313463	0	0	0	0	0	0.568604399	0.327001552	0	0	0	0.373520306	0	0.365557547	0	1.174783789
0610040J01Rik	2.868927449	1.434935666	1.756349352	0	0	6.395301833	0	0	0	0	2.433689705	0	0	10.17406587	0	0	0	6.608381835	2.864321491	0	5.60651896	0	0
1110001J03Rik	32.75271264	19.77510547	40.96157163	49.16776688	52.86837488	51.97693345	28.24637135	28.64894225	41.37477642	9.200111633	27.51927286	2415.256275	1481.489921	55.4679393	1642.815756	308.3005934	40.96611359	14.01096829	42.51016816	15.94828086	31.69823267	57.86266975	19.10022623
1110002L01Rik	0.625279059	0.609847658	0.248816158	1.642650393	0	0	0	0	0	0	1.838787777	0.404468754	0.261533588	0.411807428	0	0	0	0	0.541038504	0	0.264752284	0	0
1110004E09Rik	20.58098229	13.8434894	16.94431619	13.98300851	25.77503745	10.85435531	15.30112979	3.621147472	6.275589476	0	9.130695971	10.32908168	27.45765352	22.20148387	45.02386803	67.36900619	11.94924009	7.969265283	18.42229128	6.047456458	26.29311163	85.5138232	14.48529625
1110004F10Rik	109.6560819	89.1248792	76.24437992	54.20746298	59.47692174	81.62638419	102.9580236	75.2034734	80.80493835	34.77642197	62.84713939	274.5765028	398.2409299	128.1309398	358.9472679	306.5696685	87.35235913	57.37491515	99.4737935	68.65734911	113.5787299	318.7342908	90.24856894
1110007C09Rik	105.7374887	67.58386362	65.36066246	87.64888293	149.136162	57.01947177	28.77335589	34.04734368	22.69437364	10.09265978	28.30223725	7.470598258	53.67293774	77.75170098	0	91.00151434	55.31130836	23.055362	51.07564981	26.24325321	78.24022728	144.0421742	13.96882217
1110008F13Rik	70.35282675	91.36098728	78.98135766	25.81307761	53.92574237	72.4513255	64.40172667	22.05968553	6.950962439	19.32023443	39.00856928	6.355937565	280.289282	16.82527492	96.01699857	43.89364381	37.0585766	20.59612339	77.36850606	29.02587117	65.73421	16.20154753	26.74031672
1110008L16Rik	2.250763891	1.07608666	1.843969604	0	1.068561956	1.172346618	2.854541859	2.702210145	2.341517665	0	0	0	0	6.975756242	0	0	0	4.955756349	2.004810626	0	1.681775819	0.209911218	1.801561281
1110008P14Rik	197.2341435	142.9475485	106.2297297	57.75528781	152.0871058	219.4444048	108.3422463	108.9706342	311.0476343	197.6133567	159.3196259	41.64735345	135.3048195	250.2811355	236.7202559	571.7197213	249.595436	89.34391423	194.3044673	132.0284621	170.2151672	483.001878	94.01846519
1110012L19Rik	6.637304681	15.23176743	16.31311236	0	0	16.65716295	5.050675672	9.960724953	17.26232394	11.51537151	12.91674479	75.76614316	84.10148194	57.85563205	104.2537871	79.57539731	21.03608889	40.91945044	27.02633208	42.14148387	46.28781658	108.3266996	15.93793712
