Symbol	X4cell_WT_male_XK10	X4cell_WT_male_XK102	X4cell_WT_male_XK103	X4cell_WT_male_XK105	X4cell_WT_male_XK107	X4cell_WT_male_XK4	X4cell_WT_male_XK5	X4cell_WT_male_XK8	X4cell_WT_male_XK9	X4cell_Xist_female_XK100	X4cell_Xist_female_XK101	X4cell_Xist_female_XK104	X4cell_Xist_female_XK106	X4cell_Xist_female_XK108	X4cell_Xist_female_XK11	X4cell_Xist_female_XK3	X4cell_Xist_female_XK97	X4cell_Xist_female_XK98	X4cell_Xist_female_XK99
0610007P14Rik	24.88931613	18.31687009	32.57374505	15.48674817	14.96959717	21.69138305	51.15231087	33.28228258	11.68334897	48.62720981	15.11769626	11.54001818	29.06158582	11.89450097	29.98965073	12.06919948	0	3.358873088	16.90139661
0610009B22Rik	0	27.30250448	2.856077535	3.847336809	17.85053851	4.088009515	0	10.4598217	25.99601055	3.084343296	2.503769402	12.50993395	9.282474177	23.18478202	4.966839429	2.031122128	25.89284819	22.52979968	63.95056742
0610010F05Rik	0	0.983038544	3.839147701	0	0	0	0	0	0	0.888424971	2.884777789	0.900851222	0.89125205	0	0.953777137	0	0.828696228	0.480708286	0
0610010K14Rik	21.4016087	41.60417235	87.04310779	41.31778468	132.119402	50.15881434	0	35.13066388	30.10831133	46.99991906	69.76549132	29.95601653	63.31501417	71.25276091	51.89884792	46.48921059	60.12359054	87.19090053	185.6177477
0610011F06Rik	13.18312806	16.72741296	16.79838451	1.25714458	4.374592514	21.49401259	36.49151763	2.343648618	17.81345868	15.1174656	12.27186606	19.92758436	10.61589988	29.41189798	9.737699991	0	93.067389	7.361771781	0
0610012G03Rik	155.1383984	183.5228043	310.2562268	85.94390724	388.30382	134.369217	204.095818	151.3387993	105.9851343	191.6968632	135.3158854	168.1793083	188.9623992	105.4009655	281.8537875	158.5417359	387.1605683	269.2293193	396.9393263
0610030E20Rik	11.77462306	6.440451059	7.349746354	3.520221854	2.296802673	18.17084702	0.153889381	10.45917679	10.56502199	3.968579392	15.0339628	12.34053421	10.08572669	9.124935469	2.556303849	12.94262728	9.624607468	6.441947469	17.62046768
0610037L13Rik	3.090102474	34.54895619	8.783681394	4.601424746	32.02393514	24.3828526	21.1500168	7.812350943	10.47875845	46.63801492	8.983543985	22.44286989	26.96166742	13.28198628	2.545865471	19.6321227	2.211993801	7.698771005	51.65223721
0610040F04Rik	7.712824166	0.283806107	9.500341591	0.853175108	5.93773143	6.675475407	12.68106451	13.42020758	5.708836699	8.207708519	0.832843797	8.842665129	1.543842462	0.907305031	8.260747586	7.238831852	0	6.661530727	32.87531072
0610040J01Rik	50.66789291	12.69539083	7.285288685	60.51840227	37.94432652	24.48930347	0	18.29549868	0	11.14569509	22.35317121	19.94397892	18.41603166	2.319207512	16.89256619	9.375125972	0	22.34907936	0
