Symbol	X8cell_WT_male_XK113	X8cell_WT_male_XK114	X8cell_WT_male_XK120	X8cell_WT_male_XK18	X8cell_WT_male_XK21	X8cell_WT_male_XK23	X8cell_Xist_female_XK112	X8cell_Xist_female_XK115	X8cell_Xist_female_XK116	X8cell_Xist_female_XK117	X8cell_Xist_female_XK121	X8cell_Xist_female_XK14	X8cell_Xist_female_XK16	X8cell_Xist_female_XK17	X8cell_Xist_female_XK19	X8cell_Xist_female_XK20	X8cell_Xist_female_XK22	X8cell_Xist_female_XK24
0610007P14Rik	42.43544087	42.28826131	27.35329169	0	31.383361	53.20389732	31.4327133	83.7249704	30.95927234	30.57652345	33.80976715	37.37300376	7.462006283	36.82174426	2.73441867	25.6980107	49.57390467	22.10358565
0610009B22Rik	32.32922266	15.21496975	12.08055929	19.57993712	22.37255185	19.1327645	17.56970059	16.76385636	9.229367981	5.064036379	19.65114982	28.08557727	22.97061409	15.41720265	55.60598829	14.25936994	39.53285058	13.17874164
0610009O20Rik	2.78901816	0.718796111	5.992540331	0	4.185053566	1.192077944	0	8.623669872	4.578211863	0.418667733	5.450449073	0.53731466	6.636815705	5.812234094	0.096276626	0	7.941826138	10.89548627
0610010K14Rik	208.0715483	102.2028871	109.1368709	39.07939257	94.45346993	97.5453006	145.7039793	173.5447781	104.4748281	95.90746883	105.1520161	98.42905077	112.4311385	79.20524539	77.31867218	58.43025115	84.28921239	137.7055807
0610011F06Rik	12.4009858	14.91479772	23.6844504	11.21426732	11.7409293	4.892686788	43.46775495	74.86202195	36.18913709	34.74890561	50.02284955	47.09931647	17.77692083	12.69495429	15.98168249	36.17848411	106.8421561	12.9187418
0610012G03Rik	196.7531284	162.1088017	75.08260593	102.6092558	82.19584204	72.38194047	46.12110392	136.9067264	124.6999923	113.5793475	56.01424489	56.57557575	69.65153073	103.4860077	78.8279765	80.54003707	59.70352833	153.1323191
0610030E20Rik	10.12809616	7.830751587	10.10352128	4.831059151	5.97051988	3.805657685	6.602584939	6.071501712	4.750117099	4.995463163	6.525121795	11.38872528	5.226736963	2.433349594	13.03586347	8.442166771	9.888036273	9.043676823
0610037L13Rik	65.56380494	11.141108	34.05689588	20.18504156	46.56522573	22.0300592	23.15763245	33.41602574	26.01896293	24.65901661	40.94040634	17.9651258	20.94551465	16.59511272	30.44203598	17.34086916	21.21034374	30.39777447
0610040F04Rik	1.402677752	0	0	0.073179681	0.150341733	0.184470897	0.83490209	1.239169299	0	0.84224036	0	0.231626618	0	0.205132655	1.355768253	0.930035204	0	0
0610040J01Rik	19.12242326	2.772169813	3.209907967	0	0	5.658422795	0	1.583751136	0	1.076446236	1.482226196	0	0	0	0	5.705542171	0	0
1110001J03Rik	93.75570193	66.61169944	29.94458362	57.50661805	8.962549117	35.49077828	7.541254709	13.43135884	16.63797629	47.92748716	27.42622621	87.87105051	34.43536026	20.01089977	161.1220991	18.64920932	80.59131883	11.87879773
1110002L01Rik	1.015878736	0.523632076	0.36378957	0	1.034396681	0.801609896	0.201557171	0.897458977	1.111719325	2.134951701	0.229071321	0	0.407755877	0.074282886	0	0	1.246107695	0
1110004E09Rik	70.1419282	34.1734089	40.25771075	33.53617777	69.5152768	40.18388387	18.87323814	15.27918121	75.70779926	35.48200038	29.24943353	33.47864358	58.84186269	78.83055657	39.20503417	40.136257	45.20794836	27.02605228
1110004F10Rik	67.04799657	56.77667793	46.30521521	90.57292342	84.18277952	62.35379834	137.3036245	64.52089003	52.40962532	62.54537075	92.51208928	82.51091642	56.29527566	83.69558828	115.7245044	132.0968859	29.58234236	41.16003414
1110008F13Rik	6.385523483	16.4570081	16.00674106	6.662835746	5.475302733	13.85639963	29.1394082	47.94995106	10.48192506	15.33679589	30.71737335	5.975231434	6.773740486	19.61068177	6.392401197	6.985893003	2.517646159	4.989095048
1110008L16Rik	2.151042559	7.761245397	6.547511984	27.49461815	8.530458421	9.547567337	11.09631395	9.501490614	8.238920888	15.17626879	7.760645337	21.25312319	15.2943494	2.595253844	7.351123476	11.83773394	5.559768279	10.08383022
1110008P14Rik	86.74398338	155.1768115	51.16309928	83.5896859	29.80633551	46.30303737	20.24775237	108.1868356	78.17569683	101.1073017	67.11754844	29.21010263	56.17615212	38.05725915	21.84145898	21.99101506	27.71837729	7.973439574
1110012L19Rik	19.02970574	6.539208515	10.22190181	0	19.71652888	13.97319048	18.87810781	12.60857693	6.941672228	11.42642078	13.82663225	14.31541618	14.18520918	67.25517637	65.47138472	51.52148663	40.84922575	0
1110020A21Rik	11.90743108	0	11.8082516	0	14.43157406	4.155887371	1.635586882	0	3.00710965	9.0747947	0.206539716	0.60501379	11.81728098	6.228802612	0	7.105621423	0	0
1110028F11Rik	4.544226508	0.638811775	0	1.422472327	2.523851422	1.059428975	0	5.474333871	0	0.372080307	1.117834174	0	0.85276645	5.256097703	0	0	0	0
1110032A03Rik	3.135428197	3.878756117	3.368421941	0	5.444193058	0.247410462	0	7.478824809	2.058739491	1.129604075	0.848412301	5.48824238	0	1.100487193	0	0	0	0
