Symbol	E2.5_WT_male_XK122	E2.5_WT_male_XK126	E2.5_WT_male_XK129	E2.5_WT_male_XK134	E2.5_WT_male_XK26	E2.5_WT_male_XK28	E2.5_WT_male_XK35	E2.5_WT_male_XK36	E2.5_Xist_female_XK124	E2.5_Xist_female_XK125	E2.5_Xist_female_XK128	E2.5_Xist_female_XK130	E2.5_Xist_female_XK131	E2.5_Xist_female_XK29	E2.5_Xist_female_XK30	E2.5_Xist_female_XK31	E2.5_Xist_female_XK32	E2.5_Xist_female_XK33	E2.5_Xist_female_XK34
0610007P14Rik	24.72006554	29.87812422	19.92749911	40.14977064	16.62855944	14.25553155	38.19743587	24.07976216	21.67244545	21.09995729	25.87293402	13.92386785	42.21340465	34.35428166	13.46853055	28.23412943	11.31128973	24.42848966	26.16988991
0610009B22Rik	27.63516761	97.83168049	42.82794674	20.81595984	46.47368616	17.90630155	1.127441597	13.2526064	35.24095761	50.5460567	37.5369083	39.56315989	17.06355723	44.3314302	11.80925543	12.22576196	17.52140957	24.3307842	15.98686439
0610009O20Rik	1.015435305	2.414389761	5.025634618	6.883813673	1.024586259	3.079228395	7.177239741	5.35653739	0.971178636	10.40076929	14.11387923	11.79659015	1.763405782	5.205921033	3.670988594	7.153080041	17.82023561	2.164140123	18.60966777
0610010K14Rik	179.1392482	271.455685	158.1931464	115.5508066	62.04975184	94.79945147	138.1779702	98.56898174	181.5604101	197.5706766	200.1425891	177.3320095	116.0796139	91.54152471	54.08845938	81.48018665	81.46591856	108.4147471	98.55823101
0610011F06Rik	42.1399391	21.47050426	33.18011744	20.40528739	21.25984903	35.10606593	32.87965853	32.83873852	90.68245798	59.45861664	44.35724718	38.14684819	41.8172873	43.10207778	43.06373859	43.32880543	27.54598916	31.08824338	100.2973687
0610012G03Rik	99.56926467	145.9926176	86.98531517	54.84354476	20.09331366	44.64524241	99.77685681	51.03176912	132.5279214	105.6278575	83.92609924	113.5692094	57.06098199	50.16692473	62.54650511	53.87569735	46.45377114	29.65448001	144.1165288
0610030E20Rik	3.687472012	7.389887486	6.043894011	4.91032501	5.846818954	7.167930381	3.723367358	6.441842019	3.526757465	4.817546046	11.37984767	4.673277022	2.195542944	7.45020116	7.577138359	3.710833927	8.167079128	1.093913043	0
0610037L13Rik	62.95567949	43.78404766	34.34492952	26.6742232	12.70460537	29.4928678	18.05923738	25.75649608	40.64298061	57.57448969	44.54281652	33.57668689	41.54497615	35.80043418	14.52743994	23.86124572	26.26516909	66.39887723	34.41659587
0610040J01Rik	5.221618122	0	1.174684066	0	3.951505935	1.319512489	9.466439771	1.878043153	0	1.910118364	0	3.584511769	0	0	3.715179127	4.397955094	3.23255952	0.0713368	0
1110001J03Rik	77.49544356	110.5560568	38.60342138	32.83469855	11.17054588	5.595211688	19.30839605	25.5498331	31.76480873	74.92125261	51.91014064	26.89165379	51.90890817	24.46445024	48.11267397	60.18516778	21.45478723	44.76909952	34.58382909
