Symbol	E3_WT_male_XK136	E3_WT_male_XK138	E3_WT_male_XK139	E3_WT_male_XK37	E3_WT_male_XK43	E3_WT_male_XK45	E3_Xist_female_XK135	E3_Xist_female_XK140	E3_Xist_female_XK38	E3_Xist_female_XK39	E3_Xist_female_XK40	E3_Xist_female_XK41	E3_Xist_female_XK42	E3_Xist_female_XK47
0610007P14Rik	46.0289302	45.86164163	53.2251551	59.92370434	19.38217661	22.15879719	82.21140515	41.72434783	49.31800388	49.84822574	42.66883342	31.70427488	56.63526193	41.82450472
0610009B22Rik	63.52161645	40.89102517	43.43190249	67.51435871	14.87006613	39.67294517	15.3361239	92.24114886	49.41965824	287.8227644	48.56000458	77.76520252	51.38523355	40.32450938
0610009O20Rik	8.027664998	22.91618623	8.043212558	8.320591226	5.409264905	11.42489479	0	14.17359457	10.01010185	8.276752431	7.531973971	6.824859504	5.46204757	3.272458475
0610010F05Rik	2.456346127	1.25875957	0.889619645	2.576837528	0.693474616	0.29161169	0	0.268378398	4.863628504	0.375477673	1.402865337	1.148705611	0	0
0610010K14Rik	79.4869987	127.203455	137.659627	106.2575042	106.9151007	88.59501719	12.71199797	210.7373023	62.39705481	308.8523882	94.29684613	154.7015822	138.2269617	110.2929619
0610011F06Rik	21.23110739	66.7051663	41.43971165	20.55353608	18.9497082	23.25971791	18.21373815	25.34537789	20.58898524	84.33663736	20.64156541	53.65489182	14.39184804	22.79584082
0610012G03Rik	41.55757833	160.2635522	36.61743404	62.09766778	45.11924941	29.03280836	28.21239704	36.00393812	47.07424023	241.784138	51.55938233	38.95681634	56.53398704	90.91694966
0610030E20Rik	8.129592997	7.068735536	3.477176483	7.769715657	10.35009412	12.14697358	0.025298418	7.033205135	5.934838112	8.184991931	9.584174825	4.925998686	6.296821732	5.262768567
0610037L13Rik	19.07371989	31.35942604	31.16680043	20.2047488	49.10737645	17.5136228	1.587292246	26.74440047	18.68173009	96.21524586	21.1459324	66.68935963	31.51232459	40.83125138
0610040J01Rik	0	0	0.492383066	2.139326343	1.806218881	0	0	2.178601109	1.313122604	5.985154264	0.54808391	0.127156183	10.53269708	1.36725765
1110001J03Rik	10.4816254	30.38638263	9.395472784	32.50627953	43.65643322	9.581526972	7.443356836	27.2942656	17.81797202	235.462815	20.91667165	30.73373585	51.2791173	25.86652098
1110002L01Rik	0.910472098	0	0	0.404094976	1.791167057	0	0	1.290656112	0.148820562	1.2247399	0.414107843	0.936717212	2.210566054	0.119196821
1110004E09Rik	24.24472958	46.72918773	20.58440641	19.49245757	22.362636	59.81863453	12.6002655	24.04328911	8.867811633	69.7710481	24.38180098	54.58969083	33.87127005	27.73401523
1110004F10Rik	97.07033287	124.9639986	65.76830948	141.4476735	30.51929338	146.3817783	109.110307	86.50602548	121.3737982	199.1951967	100.0514127	88.82858443	87.01735372	86.67737387
1110008F13Rik	44.90328323	86.97257961	40.77635188	48.89549209	14.63639366	22.99566473	42.53878432	77.42333371	45.36901126	12.13972956	27.98185852	12.90816906	39.60071187	35.58876507
1110008L16Rik	6.784557387	0	5.317168428	6.631202444	8.181296525	3.340623817	0.300886417	6.713334506	7.720335206	10.87186748	7.014723805	6.48427181	6.318942424	12.99807488
1110008P14Rik	33.24326468	174.5020116	42.04366816	55.30934659	92.02369041	76.48814853	6.06684564	97.2412139	40.36502908	103.158633	48.87985268	40.53514596	49.96484916	69.1504844
1110012L19Rik	27.55070943	55.17174329	12.19544812	31.54005252	9.107136732	82.66446531	31.83144157	50.1057644	37.6345659	93.23924094	36.52337147	59.8391943	49.69068064	45.58686359
1110019D14Rik	3.317140563	4.804077627	0.614657098	7.566664936	0	1.007403537	0	1.112569992	4.261950667	18.88617603	4.561267961	4.285791497	1.460921491	0
1110020A21Rik	1.610261182	0	0.754718306	5.738479884	2.21483889	0.123695942	0.960925165	2.276816733	2.415284527	6.625642084	3.080351372	6.431809862	0	3.707802746
1110028F11Rik	0.427208577	0	0.340390511	0	1.623259926	0	0	0.547670519	0.181555584	6.321350545	0.757794389	3.164567178	1.078723546	1.236033576
1110032A03Rik	3.30727044	0	1.033396558	4.677025184	0.852936694	0	1.447319385	1.454845859	5.236279025	21.80804666	1.725449345	8.27300102	7.777917596	10.48490553
1110034G24Rik	7.463081175	35.59537843	10.64096374	10.87842355	2.984988511	4.308756011	8.28838783	19.26084801	10.34965565	10.35613878	6.270735689	10.66867169	4.463209503	8.55688938
1110037F02Rik	7.389987862	17.54352712	6.535234688	6.184953321	10.3488853	0	0.477828986	2.993088664	5.245846365	3.539358618	6.962424553	6.483446232	1.025280109	6.495933558
1110038B12Rik	59.84002653	180.7448074	89.10545156	87.73114609	123.2920715	61.74716639	4.776891144	48.73186692	86.71513887	91.31566007	42.92238337	126.3595675	85.45770635	49.75303633
1110038F14Rik	30.717119	26.83991206	24.89671111	26.89027979	27.24393942	46.89107964	35.67489725	41.24565162	19.80636624	110.565957	31.94058201	32.03846292	21.39649636	39.65943717
1110046J04Rik	1.189806127	0	2.370029171	0.858116744	0.434701327	0.582660424	0	1.668298147	2.52822576	3.60110633	1.319069383	0	0.938850447	0.506241324
1110051M20Rik	0.583930875	0	0	2.526869796	1.024041225	0	0	2.526472737	2.233436425	2.35645917	0.172632122	0	1.474455377	0
1110054M08Rik	2.435689182	0	3.234507024	1.171118344	0.791013889	0	0.549100094	9.324106622	5.1756097	2.548323878	2.800319429	2.505899946	0.854199997	0.460596614
1110057K04Rik	48.51866859	50.32354358	46.15731779	59.81772563	47.39859427	71.34149434	55.53536354	54.9174303	61.50799207	136.987705	59.4154731	116.962234	77.16180923	70.19540226
1110058L19Rik	28.93329334	31.25196174	14.49466491	22.9916107	10.38101961	39.36757821	8.963832651	27.48564968	25.77027719	110.9342311	11.26845179	32.08453604	72.18310142	20.93539364
1110059E24Rik	77.20179535	27.10941979	62.22197907	106.690412	35.47929944	148.6897991	177.6554139	53.16824136	86.66609185	28.95595466	100.960536	114.2286374	93.99549774	73.27098691
1110059G10Rik	6.567076685	10.41056816	8.218592676	9.72064231	11.80813578	18.18451805	1.18593204	21.04706279	5.698662987	17.85267303	8.64008107	17.47461149	17.58061012	10.94262989
1110065P20Rik	1.061574069	4.559286632	4.229195754	2.625026418	2.881179855	0	0	4.617376367	1.933495487	0	1.345035316	0.936149849	10.53064931	2.581033521
1190002N15Rik	0.351068112	0	0	1.012795003	0	0	0	0.750100635	2.983946453	0.078707725	0.60543615	0.782573874	0	0
1190007I07Rik	5.870691128	16.58793169	11.07861898	31.64420216	7.224875523	29.65725979	5.328766826	14.11139355	11.81810343	35.32903559	5.480839096	16.53030375	11.70299675	10.51736654
1200014J11Rik	11.86125851	5.647076784	30.55023797	29.07246	17.52239265	6.171805506	16.025308	14.43964612	33.60540693	66.44377374	26.31337709	13.05455303	15.78774737	10.4534322
1300002E11Rik	1.809728478	0.125362697	0.232572956	2.020985229	1.8769347	2.782611931	0.384952592	1.450016146	1.612629982	8.952283026	2.329944986	0.060061142	1.842603682	0.596134643
1500004A13Rik	0.286591149	2.051436689	0.507443556	1.286111042	0.325756478	0	0.290740102	0	0.405986101	0.085669747	0.094141353	0.196568252	0.201015927	0
1500009L16Rik	97.84847505	176.2444125	185.0766498	63.38097707	199.4328862	101.2379806	51.15437635	102.0512228	102.4169645	498.109813	154.2239573	311.6657675	118.5263306	117.9389649
1500011B03Rik	6.844549608	2.996701909	4.235796816	6.134621831	3.981679172	0	3.505525732	3.088126357	4.518531145	6.436019824	4.714971413	6.153072323	7.550754662	4.863148037
1500011K16Rik	9.119401832	11.32151905	12.48868022	12.33212165	3.748293929	24.00402888	2.601962593	15.52689817	18.16675168	48.30189231	10.53141092	12.02104134	10.79388603	11.39792041
1500012F01Rik	19.25998668	50.43810124	39.30057518	28.00739569	81.23701924	20.03941312	1.429669148	34.37643621	21.96010728	42.1267633	27.31260061	70.88354139	47.44629578	27.18268962
1500015A07Rik	0.991930645	0	0	1.60965944	0	4.938547231	0	0	0.790409636	0.333578877	2.016109803	1.275654837	0	0
1600002H07Rik	18.33428504	5.905706189	14.3935311	11.5118984	8.51105845	14.50642289	49.7268684	19.96119122	14.43760839	12.1862917	13.86961755	7.767029542	9.87172988	17.25378153
1600002K03Rik	32.48458583	59.46582407	43.84553966	18.43566941	95.46602035	26.42646955	0	51.48660226	24.14047822	74.02274123	34.11141793	74.51235109	0	51.05688707
1600010M07Rik	18.19693547	17.3225401	23.9157489	13.52996571	38.93046766	19.10861345	14.08316947	22.24578081	11.95879514	70.15337067	11.09217436	27.40669865	2.368463629	22.3494039
1600012H06Rik	8.847294317	11.70544614	9.521609392	20.56397691	7.659718131	7.118351406	13.52686963	11.01948457	19.06695949	2.03052222	9.29714179	12.33774848	8.999474282	9.562560624
1600014C10Rik	4.05297111	2.51751914	2.668858936	2.995573626	2.055948274	4.461658864	12.26697569	4.025675963	1.992901436	5.316763848	3.762979963	1.516291407	3.383127178	0.342043051
1600020E01Rik	7.12704353	0	12.1685859	18.60261013	24.30305963	13.9607491	0	12.50856144	6.490412165	9.13055839	11.53846743	25.83828569	36.42077991	20.21620089
1600029O15Rik	1.597013821	0.823069513	2.035945457	2.764331303	2.427262631	0.417106274	0.194416037	1.228398636	4.072204426	10.6553465	3.965958196	0.394331777	0.806508345	0.543600758
1700001C19Rik	0.705807396	0.551150379	0.51124727	1.295751519	0.562625648	0.16758362	0.260372838	0.205642526	1.363431021	4.488219513	1.707246381	0.264055593	0.405045418	1.201233924
