Symbol	E3.5_WT_male_XK144	E3.5_WT_male_XK145	E3.5_WT_male_XK146	E3.5_WT_male_XK149	E3.5_WT_male_XK49	E3.5_WT_male_XK53	E3.5_WT_male_XK55	E3.5_WT_male_XK56	E3.5_Xist_female_XK147	E3.5_Xist_female_XK148	E3.5_Xist_female_XK50	E3.5_Xist_female_XK51	E3.5_Xist_female_XK52	E3.5_Xist_female_XK54
0610007P14Rik	28.24650764	43.25062852	51.06051179	178.9861449	22.57556087	27.97369773	58.99598697	42.22977042	44.90903261	27.12000886	66.99405447	27.57033163	30.20341663	34.58919135
0610009B22Rik	55.39905917	255.448066	62.27105297	345.1224903	32.04796601	56.04387605	50.04173313	46.23486469	95.94053846	86.3903508	93.49049967	74.65664329	64.66535959	49.26603062
0610009O20Rik	15.38913965	17.31204708	10.25703222	2.198515015	12.89450712	11.71326335	10.28271401	8.842303172	10.11599036	14.12288181	7.9188467	7.701113847	6.767328829	5.304443377
0610010F05Rik	5.106348063	3.071657093	4.673181636	6.827171831	3.897620987	3.874337518	4.291604945	6.097237918	3.013345294	5.821958424	2.837240809	3.945753983	7.387699998	4.400235293
0610010K14Rik	160.9254686	65.42143305	101.3822383	326.9448019	85.1131496	92.13539561	70.22626274	74.21287911	108.7932667	98.78589949	136.8620157	107.3521675	78.40317352	160.620637
0610011F06Rik	0	30.88528654	30.17044299	110.7878072	18.84942021	29.88638164	28.57542134	25.1186101	25.1183441	34.51353102	99.88670392	32.89912261	20.86239808	60.64837251
0610012G03Rik	93.41388605	86.1871178	57.37995047	174.1799887	62.35301069	73.42014456	49.36366803	59.30785002	84.37854316	81.22219929	110.828576	91.0608132	71.22376667	114.8622943
0610030E20Rik	3.345462391	20.70629753	9.537020636	8.578791978	4.765008326	6.845721968	6.251258822	5.160554365	7.326635399	2.90826386	9.920609912	5.992709653	5.476717149	13.0710917
0610037L13Rik	27.71453127	43.72803907	24.82544665	117.0445933	26.55683322	25.73899019	17.43205103	20.27240053	44.79845415	27.40428923	40.73909166	27.73475817	28.11089929	25.25241415
0610038B21Rik	0	0	0.373623498	3.168512718	1.1152608	1.1701873	1.775253523	0	0	1.191199847	0.132974585	0	0.854558556	0
0610040B10Rik	0	0	0	0	4.825403973	6.48071003	7.900454558	0	16.15035179	0	6.443827479	7.425191586	1.478968955	0
1110001J03Rik	33.55600156	242.9211558	77.41885544	330.359448	39.47858852	41.22084271	36.78518524	21.08819129	76.62973671	64.05815127	80.36519532	55.56265813	112.1467616	70.22416325
1110002L01Rik	2.028612821	2.218701073	1.436940877	0	0	0.216023668	0.585218856	0	0.478528942	0.549756778	0.245479142	0	0	0.276014759
1110004E09Rik	0	22.53140792	10.27480682	99.18821295	10.58850468	24.21211099	8.966981958	17.8968571	33.13082581	12.0337376	51.71842372	22.94169255	10.07174043	9.006672498
1110004F10Rik	52.59903244	358.929115	137.786208	346.0020199	120.4145094	152.7595936	123.0464446	161.3246634	132.3098344	177.1619265	308.5541309	133.7948808	102.724958	124.2657877
1110008F13Rik	136.9084864	84.04372938	64.67055058	108.7685034	83.30945069	109.3079758	80.19170383	70.0127951	119.8646639	99.47231821	79.85085807	122.9045998	68.79318454	116.2416443
1110008L16Rik	3.617201323	0	7.180555376	3.170061711	1.907249822	6.060721764	5.328364176	3.836061747	0.861259982	13.80250071	5.78258133	5.066059493	9.812344559	6.282722865
1110008P14Rik	105.6477766	57.48040753	41.86156529	129.4113649	91.77815533	99.28211028	88.18366326	53.25009035	72.82817186	56.01566125	89.70076869	130.1197957	60.41937101	142.1034891
1110012L19Rik	17.33356372	106.0906558	58.14104773	86.52550607	27.71982301	24.2796705	21.5595291	20.52956371	75.74520085	106.9049942	68.40089339	78.81802232	78.18806547	59.45937624
1110019D14Rik	1.881644947	2.572452232	37.85926739	46.32668163	23.24440258	14.99042741	9.540083089	11.2338963	8.433353852	6.574432571	25.14604429	6.906386478	12.16348299	15.80912306
1110020A21Rik	0	0	5.752474791	6.215701823	4.524805037	4.966773671	3.482531882	2.903947654	24.0754971	6.373058666	6.80600982	5.355875898	6.934182314	7.465972997
1110032A03Rik	0	0.432495336	18.73345144	33.91439797	2.621207097	6.000657435	4.33495449	4.970280777	10.27951061	4.36314903	8.182638069	2.138944078	5.477662796	4.089107545
1110034G24Rik	0	58.94255777	52.35114582	23.90093118	11.25818249	15.99250674	19.16780727	16.25697412	9.983720756	34.88502269	17.2094062	37.01659073	20.34964762	21.98173287
1110037F02Rik	3.961636164	0	0.986369536	3.423473923	10.14589507	2.605035936	5.700023434	5.477298315	3.9284435	3.970434956	2.106324894	8.571408793	4.207214568	1.152162804
1110038B12Rik	35.8918183	107.2970263	212.2183583	98.3153454	87.2341282	102.8771456	75.41275243	82.70580966	225.7454191	144.3261548	155.4145536	98.91851157	214.3375042	156.1896762
1110038F14Rik	72.34071096	6.711011496	35.98805915	134.8004328	33.86186326	26.13668573	27.96820455	22.32526209	23.30361383	28.50644023	57.35909284	52.90420647	26.84104978	53.84944227
1110046J04Rik	0	11.902806	2.441135081	10.05527521	4.91855849	0.458737518	3.479679685	1.709853348	1.829126072	1.000660434	2.34579489	7.70869311	5.862579642	5.275185554
1110051M20Rik	6.943498048	0	2.108578225	0	0.429141536	0.90055344	0.975857618	1.118878265	3.989756212	1.702487964	1.12568126	3.026606643	2.959432573	1.380771156
1110054M08Rik	0	0	1.332619643	1.883546007	0.497231323	6.260639081	0.904553736	0.518562081	0	4.855663745	3.55714799	6.376042736	3.047992226	0
1110057K04Rik	50.52998158	107.9039378	83.14488662	142.8561474	37.33816806	35.15816733	24.93920979	46.98657029	46.47258197	53.06195135	112.6280924	43.81553677	35.26107684	50.09372343
1110058L19Rik	95.08372255	265.183186	84.17414387	157.4441141	35.65156039	33.13226567	15.63508248	33.19730264	67.47473313	40.79904123	59.20758168	45.71632201	33.17147761	53.9408154
1110059E24Rik	151.002007	136.5467733	232.7119713	157.8617319	66.31213416	79.12547576	58.69400881	68.84674217	93.88617205	78.94916512	165.7886706	83.50740677	149.9268529	73.67158648
1110059G10Rik	13.83773227	7.911151669	9.142381352	21.2631665	8.7175998	11.13540626	6.665331096	11.99034025	12.35689583	15.11381323	11.93068071	18.63109661	12.00424668	20.46089773
1110065P20Rik	3.699086786	0	0	14.17356011	2.786322504	4.677677843	2.027529895	4.64936501	4.766449698	2.040716948	2.657746617	5.002097569	3.415991287	0.597669754
1190002N15Rik	0	0.097557809	0	0	0.967524037	0.902377346	2.346801692	1.457487652	0	0	0.35889672	0.275703316	0.988475453	0
1190007I07Rik	30.14656824	129.8249235	95.59883132	108.7521189	52.79559641	37.64530091	26.85121811	23.0898779	66.07921714	47.12200953	54.69130886	68.42823619	65.24863037	51.75276736
1200014J11Rik	19.73631155	84.07374842	19.8610657	35.14174108	29.19200469	34.14645275	34.91197403	30.02147666	13.97207038	13.15651905	16.59738232	20.96950987	66.48299656	12.17557149
1300002E11Rik	2.313914732	0.778688243	3.305798816	7.603645437	0.965324564	3.151140896	1.756100028	2.684629556	1.675274346	0.785565201	2.86464672	0.13753828	1.150599743	0
1500009L16Rik	33.93540358	33.56511542	6.513169203	152.6177069	24.89488147	85.07967314	65.66802542	76.77585223	52.90269711	87.47565672	158.5900111	20.52188629	27.79569795	110.2325276
1500011B03Rik	0.202609555	0.221594793	1.745151888	20.21752143	6.348777626	5.739099164	2.22107214	11.45965542	6.901383477	15.35055687	17.70160116	6.26238125	20.2071894	11.26121171
1500011K16Rik	26.93582862	40.38845163	36.25130746	75.08636549	7.33033008	14.94319082	10.47765449	5.460567413	22.78175395	18.21547471	29.96601118	20.14231996	37.71279653	8.42338507
1500012F01Rik	71.13599517	11.48749807	77.87518609	49.50816456	48.33250159	65.68524529	46.57961465	28.80338323	68.25845763	115.889495	70.52535921	58.28808933	185.1717228	112.9304289
1500015A07Rik	0	0	0	0.123279299	0.683426314	2.677117341	1.450488796	0.712744663	2.117952667	7.786254793	2.716205636	0	4.887579808	0
1600002D24Rik	0	0	1.969549663	7.677044403	0.766836207	0.160920565	0.871883623	1.399532334	0	0	0.182862566	0.983321083	1.175162691	0
1600002H07Rik	0.164413447	5.754226327	8.585436769	9.114499344	3.368550791	12.1418809	11.53506509	6.19951494	16.87467669	22.37360928	13.04143739	13.72083933	25.81121741	5.525447118
1600002K03Rik	12.44819413	68.07317143	14.5680642	82.24528233	19.56845851	13.68813562	5.339784955	18.36713435	29.8363898	47.77346588	17.11000933	8.364271116	23.99064849	39.17628841
1600010M07Rik	30.31479686	1.876720833	14.47204741	61.92463269	6.204090823	13.88723578	11.91338386	8.626987348	17.43212575	32.39638155	47.01363926	9.723465172	5.282031982	6.653927233
1600012H06Rik	17.51462563	0	22.36747592	5.58639516	13.09652457	7.759921299	14.71540883	11.4087421	14.32461456	19.18392405	14.47623279	21.73314422	5.666876693	14.54185161
1600014C10Rik	0	0	8.0818553	1.998196634	3.323234736	2.996154347	1.791278586	2.18216936	13.41129374	6.160007622	2.348061359	2.683112708	3.772442552	0
1600014K23Rik	0	0	25.74176943	30.36545241	16.17659237	8.910976292	3.678518524	8.9624813	4.135857285	8.947572047	9.402727852	33.05978159	10.84577234	1.084343697
1600020E01Rik	0	10.18555095	6.127571671	16.19683615	13.71803538	8.374485795	9.641931815	8.453856422	13.91317629	10.65607851	8.326825524	0	0.955574655	0
1600029O15Rik	1.947694949	9.798924179	1.467919702	3.937850193	3.05155453	1.773328615	2.562152206	2.448048741	1.833170574	3.008619182	0.895612127	4.21403908	10.07235905	1.258773778
1700001C19Rik	0.586903969	5.563124349	1.053171548	1.531100141	0.943110604	1.979117444	1.93014992	2.950707499	0.964497534	6.907390625	2.36142484	0.604679678	2.529275059	1.264365222
1700001L05Rik	0	0.064193461	0	0	0.141474446	0.831275483	0.643419032	0.81148962	1.420520698	0.906645361	0.573520734	0.634948917	2.601684519	0.986259635
1700001L19Rik	0	50.72682298	13.21858444	20.84402019	2.348647952	0.985727466	3.418092434	1.46964165	0	1.43346821	3.472416515	13.25144811	4.679038951	1.007576002
1700007J10Rik	22.83378684	139.0879308	20.31635221	43.64198138	24.07924359	32.40355015	37.8943695	29.49689403	23.879068	17.02924107	17.86407618	25.4858061	58.57302792	20.08622258
1700007K13Rik	10.95578409	0	9.436626658	16.86289075	10.03491971	17.73328615	13.45129908	6.058920633	12.17749024	11.92702604	25.44098198	7.449819087	0	4.5315856
