Symbol	E4_WT_male_XK151	E4_WT_male_XK152	E4_WT_male_XK155	E4_WT_male_XK156	E4_WT_male_XK157	E4_WT_male_XK161	E4_WT_male_XK62	E4_WT_male_XK63	E4_WT_male_XK64	E4_WT_male_XK65	E4_WT_male_XK68	E4_WT_male_XK71	E4_Xist_female_XK150	E4_Xist_female_XK153	E4_Xist_female_XK154	E4_Xist_female_XK158	E4_Xist_female_XK159	E4_Xist_female_XK160
0610007P14Rik	49.04592344	61.70147685	69.67373331	6.860285628	50.73584858	68.10059534	57.22648641	52.16254736	50.59579741	43.23202346	50.24073487	45.42106128	47.52191617	44.22036304	34.02378278	48.16346676	14.18893415	46.42955471
0610009B22Rik	100.8513072	103.7029403	43.43864015	539.4942901	54.77832199	112.2393262	50.97186583	65.74129301	52.15712073	60.64958674	58.13606386	49.34627648	47.98469807	73.89135863	52.06708695	68.9191947	64.77047654	37.44930595
0610009L18Rik	7.353022272	7.29135504	1.923776888	0.905736557	3.987643148	2.234919146	4.008041278	2.435581332	2.715686437	8.925360731	0	0.507015054	6.603017823	0.731883211	3.473833718	1.106436991	0.242526641	1.154334019
0610009O20Rik	16.4572459	14.64397687	20.63952256	0.11660793	10.92774885	11.41336517	20.98441911	10.45219665	14.21819248	9.610524937	20.85481069	26.7627601	15.67957324	8.040567194	17.66575943	18.32816251	9.679375447	19.22065377
0610010F05Rik	5.91985238	8.648768174	6.42389685	0	9.411759747	11.19429973	5.593186106	4.127153359	6.496656636	12.01043107	3.405907942	6.481526142	5.704185123	20.57263601	7.920802377	14.22706927	27.95787365	14.03751955
0610010K14Rik	92.80209204	95.90248207	71.7360177	28.24747287	71.06502957	88.13651295	126.3586595	100.7284945	90.21849433	115.5240109	66.06640706	92.81207665	86.5504001	78.73128767	68.3009738	99.0194454	88.13412823	79.82731793
0610011F06Rik	35.40023755	32.27795668	35.72943126	0	22.39212297	41.50813458	42.82821913	28.50420997	23.49130158	27.2493134	30.90934951	37.537244	43.11818585	42.6408455	43.08560409	38.84671625	22.76849676	33.77364041
0610012G03Rik	120.43453	74.25087711	36.15898431	10.67180558	50.10055178	47.02294191	66.62040331	76.52571157	55.23372675	78.18916068	47.92814031	32.74969128	53.10145038	65.49666476	57.74097303	74.80496889	49.39497726	51.97485048
0610030E20Rik	14.58191149	7.531987589	7.195274282	1.512329869	11.71854216	6.269252044	7.138476626	7.482816449	6.529602564	4.552154594	6.254699306	13.07111943	3.332065245	8.79870818	5.104301637	5.813290943	5.3129768	6.219138517
0610037L13Rik	18.73611195	26.57763944	21.24175482	89.46557377	16.82398287	27.7991184	29.85917534	16.52457921	15.1735259	17.4866132	10.10133883	21.85362372	25.18124871	19.6675721	18.36977157	19.13496339	29.61827285	24.72378551
0610040F04Rik	0.439477385	0.629476816	0	1.75936484	0	1.157669415	0.346021974	0	0.234450475	0.630444841	0.983295598	0.393944333	0.38003422	0.252739586	0.674781299	1.432812756	0.062813385	0.896903043
1110001J03Rik	197.6850996	88.69770825	35.10347533	237.7363349	40.37956948	66.39973499	101.2643898	61.53570794	53.3653938	53.52824567	35.5264774	39.14133223	39.1323218	76.36202785	95.08142834	95.25226569	130.7202097	58.3292047
1110004E09Rik	11.74081028	26.13059477	20.81968802	54.71528842	27.89439897	40.04726571	16.35496809	22.90172449	15.41768901	19.86560787	10.77707758	34.54154494	31.23927033	41.03160896	19.87597422	29.05213689	13.55375669	23.96111569
1110004F10Rik	77.77598707	101.4428866	128.4382157	115.5341379	87.90352417	149.7052608	130.2513214	116.6614463	94.45674702	113.7247441	116.944282	92.58348394	133.3227906	174.7423444	94.45974207	110.2337905	243.0936337	101.225474
1110007C09Rik	0	16.84085362	1.974822378	59.97012424	7.017345013	16.34632094	4.628689461	6.875569357	4.878552791	6.246945152	4.871634494	3.122809139	2.824259282	18.5947492	15.37841127	21.86405734	0	7.109778682
1110008F13Rik	57.68594111	88.26104261	66.15654965	124.9450642	56.92319903	145.148775	108.6904451	91.41471279	90.18751551	76.53400232	37.30280127	40.7995014	67.9048763	83.7037403	41.98210759	52.83394694	94.50662659	48.08918876
1110008L16Rik	8.53669899	6.178041306	5.093863303	0	6.957403784	8.654665238	11.93925674	4.998007719	7.730020949	3.061544246	2.261863792	6.443987289	5.827922906	8.042340659	5.691370016	7.690393778	15.02684797	8.711018539
1110008P14Rik	166.2655995	109.9141253	40.47935002	0.426674984	44.54732377	47.02628195	120.8390893	64.25189596	92.96300335	95.55829342	120.4250251	77.86346713	68.43218928	82.746248	94.91444304	128.9153468	55.29681244	107.3067967
1110012L19Rik	33.12365029	45.83091466	17.2745579	84.86674421	18.18152932	35.1198056	27.77505615	23.29663115	9.542156507	21.85780695	20.75122719	32.06714323	53.27669883	89.86422587	62.55612058	78.618088	110.640103	74.36007884
1110019D14Rik	9.34891812	21.492137	11.3941187	0	11.76974589	17.39273359	11.59335304	5.367600692	5.610847479	14.4171821	7.844046995	4.609166225	10.91393333	12.39950869	1.794311642	1.523997546	3.10670475	1.589970533
1110020A21Rik	30.99396248	0.493262161	0.650720161	50.55049359	0.722585219	0.188991114	6.43969583	0.411919356	0	1.235051779	0.642097399	0.385871703	0	0.123780248	0.440635875	4.865299708	6.521779928	0.195227529
1110032A03Rik	3.929483542	13.50796489	2.895741231	56.94602589	8.113066815	5.046126365	8.121419219	4.230148273	6.603293677	2.254789631	11.42947783	4.667127631	3.567885799	8.135321353	3.921708744	7.302359961	4.633456506	2.138519289
1110034G24Rik	40.22418098	35.79587739	13.22231516	0	10.78720014	10.50179036	43.85140471	13.66530564	17.52242366	30.38792708	18.10618634	18.56171428	25.31580774	14.57762758	23.02329937	32.74657352	30.41260997	22.83007451
1110037F02Rik	12.74494712	5.413058257	8.758885421	0	3.816143667	6.708055631	4.649290328	3.602195693	6.694112995	7.906182952	10.01906581	4.366885386	5.744579104	2.186117494	6.346642938	5.262171823	3.164947101	8.268427787
1110038B12Rik	254.4143786	132.8206769	68.06599166	191.325699	132.0085907	26.61918978	230.2661677	105.7982347	67.54482356	92.0941836	107.7284634	68.20342404	88.66927442	71.7883408	84.8803844	150.7753647	10.19517764	82.08837
1110038F14Rik	69.95921395	22.33921481	25.83197997	10.53468748	22.13985216	21.55641995	36.76364535	27.17686093	19.51676638	19.33518276	20.82255359	21.7186939	23.72688439	24.91488769	17.2457854	21.55304101	12.38419723	14.84516575
1110046J04Rik	4.506010085	0.387245712	1.532584162	1.443116934	4.311332144	1.186971215	3.725191518	2.58708682	1.44230794	1.93920614	1.008183818	0.403915468	6.429279044	0.777410052	2.075582115	1.762894459	0.966048847	3.984953174
1110051M20Rik	0	8.210235256	4.011513875	0	5.879996144	4.660316494	2.089420205	4.570868654	5.09654342	6.344800281	0.395835688	2.775260522	3.671679777	6.791338723	3.259681261	0.922869459	0.15171702	4.332689788
1110054M08Rik	5.739622682	2.818640918	0.929600229	0	4.129058395	2.699873051	4.357688907	3.530737341	1.312263782	3.528719369	2.751845995	2.20498116	2.127123618	4.59755207	4.406358753	5.881131515	8.78946082	1.115585882
1110057K04Rik	39.30580023	59.16265097	42.50161204	93.77532572	56.97779049	65.83415298	62.25251913	44.02538482	43.08883273	50.84470141	53.8845137	63.49146189	57.46753669	51.64391478	43.25723246	57.7774073	79.39717878	45.20891879
1110058L19Rik	69.28851849	82.55300598	34.51646069	76.4906065	45.46545199	59.11143344	60.75357322	48.97332079	35.28356621	74.54750319	52.85029565	22.82061836	36.76702878	56.6011629	33.04438753	58.18608923	46.36513059	39.9938375
1110059E24Rik	101.2593237	118.8388752	87.28217055	0	99.14395459	59.57984558	136.9633966	49.62070567	72.98502387	117.1223473	35.10851884	73.29580756	109.7189131	110.7209118	77.17299189	56.59409712	141.6085544	82.06118504
1110059G10Rik	8.333638407	12.44382583	6.849889699	17.18150719	8.708001105	3.361466459	13.16396896	7.476072818	6.501972258	12.70205985	8.856779354	7.376835215	7.431642096	7.14397278	9.59671112	11.07172201	2.099323882	10.06284356
1190002N15Rik	6.736428039	0.837921291	2.210801153	0	1.740790113	1.167438777	2.407699733	0.763354352	0.851144255	0.12715301	1.586549522	0.834264391	1.839558045	2.714391161	0.408285393	0.11559232	1.938309755	0.241192492
1190007I07Rik	57.57271254	31.77848064	23.88003798	0.374766664	36.77070024	20.65258505	65.78349568	36.95158933	24.72073389	58.4172887	39.79630402	17.83194991	31.57129199	29.67747284	22.99789381	45.1706353	8.830822989	37.57346943
1200014J11Rik	34.71083399	16.32773107	23.1821646	13.69508555	20.20110937	13.83268185	19.60882957	28.38992254	24.25390908	13.26770031	16.70434162	16.38133043	45.0238345	16.46135476	28.48706727	19.39997462	8.910924343	22.24860644
1300002E11Rik	6.721114108	3.420067267	2.205775336	13.94900644	3.651802239	2.562526642	1.880003196	2.411793554	2.830697827	3.805918592	1.780810669	2.41783044	3.441330329	3.127803994	1.357857459	3.805874954	4.550360924	2.586925029
1500004A13Rik	0	0.829126255	0.765658607	0	0.631590056	1.270703547	0.911537632	1.107834918	0.926431471	0.415200653	0.431721591	0.864817631	0.250284317	0.208062693	0.296266612	0.125816937	0	0.656317404
1500009L16Rik	0	0.252001606	5.651564543	0	0.738319906	0.772425992	0.692623549	10.94311724	3.285055648	0.420648568	0	6.965512093	24.72291291	10.87690421	5.853002498	0.191201702	12.57319856	1.196872291
1500011B03Rik	9.663953544	6.401913149	3.195601018	0	2.534657755	0.662936051	12.60224365	4.912712738	2.25552412	2.599361421	2.702790661	1.173073646	6.006463788	4.689271271	4.018680266	4.857336861	7.33786039	6.300269666
1500011K16Rik	26.76603327	10.3883079	6.852219693	54.95899982	8.695970084	7.676161874	31.10144485	15.49141846	6.909206348	12.38605155	16.42059193	11.80294786	14.55938743	15.0825698	4.639988132	15.48238691	12.21724216	8.81051489
1500012F01Rik	79.2270139	49.33289983	28.50648074	13.6744129	33.20758847	3.749092008	105.8953833	46.98559813	31.12981305	49.00042831	27.59800744	21.2630297	27.07615077	23.53166504	18.93898369	26.91280545	6.916281419	20.65496679
1500012K07Rik	0.399981322	0.572905404	0.151157387	0.213499973	0.268561757	0.702419371	0.314924797	0	0	0	1.193235075	0.298783624	0.345880345	0.115012873	0.409425566	0.173872683	0.17150494	0.906997661
1500015A07Rik	3.568788996	1.291373039	1.064751336	0	0	0	0	1.078415482	0.300609783	3.233397362	0	0.841851713	1.218189089	1.296239507	1.153596068	0.612378842	0	1.661109773
1600002D24Rik	0	4.211100432	1.254435704	0	3.183942094	1.353227567	2.240160317	0.680643271	1.5178419	2.494265595	2.475626089	0.99182674	0.410059497	5.045092909	4.853957272	8.245411556	1.355521362	3.871057829
1600002H07Rik	16.82783449	10.67085103	8.89084755	1.308098294	7.651378344	9.683259107	11.19121932	9.614655253	7.582716944	8.202941511	11.69737865	8.420874153	9.324404699	2.325428272	6.522151174	5.752646268	12.04914905	7.891091272
1600002K03Rik	19.89912196	33.74034411	8.536328987	0	16.52067343	6.375184107	48.90815961	17.75492648	14.63244669	15.4302424	7.219897019	13.980687	20.23054667	28.99614105	14.03807689	12.62459903	14.75873335	13.90283911
1600010M07Rik	43.76462295	1.465372977	3.221909886	2.27536903	2.575969385	7.48601164	2.68504064	4.894885859	0.909637394	4.07674018	6.358432034	5.859069256	11.05862563	3.677237888	4.363439674	0	34.85021215	1.159955775
1600012H06Rik	17.40421871	14.30209697	12.53037697	0	12.1549531	8.282418974	25.95604235	9.117228136	11.99559559	5.649450688	17.33849362	9.053143801	13.18260936	13.69846722	10.53305206	8.035050344	7.244735405	14.51880785
1600014C10Rik	2.131146857	2.5292196	4.026920414	0	5.570398982	4.61138317	1.677955832	3.641605905	0.81208208	2.038133757	0.681181588	3.820689094	4.212321322	5.077501653	4.051295642	4.764413895	17.9278505	2.209183405
1600014K23Rik	14.58820765	96.35641421	31.66063448	0	47.01621159	39.52614146	65.96249838	24.52881691	60.03606802	74.74023664	51.29135174	31.19742094	33.51992302	39.37096032	53.11760564	77.4571753	8.935951834	62.09629917
1600020E01Rik	6.169462266	15.02240413	12.82329597	0	16.56958999	7.787210934	14.57255537	11.06919856	10.69658774	10.32534723	16.10429306	6.451971304	11.33685047	12.19626233	13.4196594	7.710398159	6.172498888	9.792911019
1600029O15Rik	5.032084894	1.829623603	1.316548252	1.394654052	2.534041255	1.656937015	2.514349831	3.333609385	2.168245685	4.164630101	1.732136709	0.780702285	2.510452695	0.834781109	1.485836838	2.019191442	0.829872807	2.106601091
1700001C19Rik	2.721620083	1.670682499	1.322396328	13.69719093	2.251609245	2.04836565	2.06633333	1.6742086	4.355753963	1.673251716	3.479661639	2.52677047	2.017283254	0.251546756	3.283361159	4.056321287	1.91718589	4.231917128
1700001D01Rik	0	7.988227911	1.40509486	0	9.673689553	3.26469605	0.731851785	1.778908371	0.991746256	1.777891647	4.159427398	1.944155955	5.626524332	0.267277704	3.805846144	0	1.328530892	0.421553249
1700001L05Rik	0.408265681	0.300739548	0.727358367	0	1.732856374	1.958858418	0.551052818	0.418575391	0.466713839	0.334668926	0.391483671	0.20912365	0.605218581	0.52827752	1.164165414	0.41833136	3.101011971	1.031587078
1700001L19Rik	8.520546061	20.30341261	7.903658587	1.240378161	11.89707788	8.671848882	20.35462777	7.782724123	5.888493397	12.50080064	1.733094749	5.901902006	7.284339536	14.61674942	2.37865384	6.944809615	19.76189702	3.952061712
1700003M07Rik	1.058669065	0.519896187	0.514392179	1.08981822	0.45696102	0.298793726	0.714464378	0	0	1.73565232	0.676767885	0.203353554	0.588519515	0.130463847	1.161070773	0.59169287	0.194545128	0.617306918
1700007J10Rik	46.00997264	11.9164324	28.5824877	24.97949683	19.83694796	7.471187855	11.16551553	25.78296314	22.6959033	11.75392812	21.1528036	8.474590057	33.92771744	12.91280895	22.25786258	15.00047054	5.269879065	18.43678882
1700007K13Rik	14.37047321	1.122723575	8.8867007	0	0.438584063	2.007442922	2.571494145	7.500621117	1.393872226	8.121028697	11.69192278	3.513160281	10.16733341	3.94434074	8.692145501	3.691334356	28.56837138	2.073685449
1700007L15Rik	21.09138455	3.222381986	2.125511635	0	4.95652833	3.086601854	12.73147784	3.363732362	1.500231954	0.672361968	0	3.36109578	9.11929503	6.064735044	3.598231378	7.640389306	12.66105947	7.652291915
1700007P06Rik	2.552493197	0	0.964615548	0	0.214229397	2.801569362	1.004851175	0.610621646	2.042539374	1.830817947	3.8073333	1.525357562	1.655434602	0	1.306380967	0.832180434	0	3.472820207
1700008J07Rik	5.038690142	3.464193135	2.937873093	0	3.76980315	2.180547141	2.380323857	1.859734594	1.152007884	2.065190749	1.288419123	1.225946556	3.174504594	0.807218229	2.210426677	1.595810918	2.345687356	1.566957802
1700016D06Rik	8.870739093	3.335280168	3.457111858	10.43174729	11.16774622	3.651134735	4.256097673	5.172637366	6.2111741	8.748690882	4.961892805	5.715259956	5.034024145	3.108716918	4.681974226	7.591752148	2.496123363	7.731813951
1700016K19Rik	11.78461074	19.60194905	9.912707766	18.566616	5.360154416	13.51871288	6.734466751	3.273886742	12.77640536	15.81474193	9.35607719	3.578006888	9.861908631	4.099128735	7.587931577	11.40234777	16.62610973	12.41316408
1700017B05Rik	2.483602437	2.25636947	4.987887408	0	4.824069136	1.448650976	1.089471293	3.361141729	6.927550613	1.832302194	2.857814933	4.484370379	5.614632031	2.785181017	5.011853531	1.989598256	1.004072091	3.861817363
1700019A02Rik	2.792001464	0	3.798462181	2.68254033	0	0.73546781	0.659483666	2.404505334	0	0	0	1.251364906	0.724307644	1.926786636	10.28853144	0.364106591	0	0.379868558
1700019D03Rik	2.51882722	0.721558556	17.61001681	122.3482843	6.97632636	0.829385462	8.924379681	19.88474016	4.703065281	3.011117447	38.51044591	12.79453097	17.96960366	14.48555421	18.04810732	9.033248766	9.360248827	4.8549388
1700019G17Rik	4.272324388	0.91790701	0.968735321	0	2.743090441	1.477105653	0.756857093	0.766536935	0.512815712	1.225758121	2.628720895	0.478710065	0.69271033	2.073073709	1.311960385	0	0	0.290637689
1700020I14Rik	54.69871532	38.84956978	23.3192228	57.73003432	34.60198916	75.31826611	53.12185633	26.6032359	33.28016166	22.37285534	36.41177244	44.87803327	28.14559437	65.70821327	41.64563728	64.84811251	91.19862837	37.21044272
1700021F05Rik	50.68508671	52.27040891	43.31854253	112.0677525	55.56342377	61.87880535	48.80913519	33.01776757	49.91863117	52.01520968	33.14881449	42.81256571	54.11255623	61.88461042	35.91820275	56.43814343	49.81842902	35.2757449
1700021K19Rik	0.917394305	2.308906352	5.497568416	0	7.061671308	5.17842018	1.779976408	1.410841142	1.88771466	3.572088121	4.251807219	2.437667268	1.699947193	6.670186976	3.320232143	4.828245567	7.642471551	4.324017561
1700024P16Rik	0	3.933828647	5.063001249	0	6.353035606	27.57124823	4.219349577	7.371465013	3.752254251	3.203152999	0.249795544	3.352588542	1.737784027	1.829863616	0.514262533	0	0.526582876	0.151898971
1700025G04Rik	2.656208405	1.326457502	0.651120439	0.114958156	1.789498519	1.063728945	2.501156372	1.184996631	1.091490267	1.750732957	0.72280392	0.949184785	1.024307939	0.866994725	0.49602029	1.076641613	0.923461088	1.343014888
1700025N23Rik	3.105250409	1.667904202	0.880131481	4.350949559	3.322930697	5.623638013	0.458421573	2.228565919	1.242431563	2.227292196	1.736937531	1.217791701	2.01392857	0.837094804	0	1.265492419	0.998607478	3.432714652
