Symbol	E4.5_WT_male_XK164	E4.5_WT_male_XK165	E4.5_WT_male_XK166	E4.5_WT_male_XK167	E4.5_WT_male_XK169	E4.5_WT_male_XK173	E4.5_WT_male_XK73	E4.5_WT_male_XK75	E4.5_WT_male_XK76	E4.5_WT_male_XK82	E4.5_WT_male_XK83	E4.5_WT_male_XK84	E4.5_Xist_female_XK162	E4.5_Xist_female_XK170	E4.5_Xist_female_XK171	E4.5_Xist_female_XK172	E4.5_Xist_female_XK74	E4.5_Xist_female_XK77	E4.5_Xist_female_XK78	E4.5_Xist_female_XK79	E4.5_Xist_female_XK80	E4.5_Xist_female_XK81
0610007P14Rik	56.04834925	44.16480981	43.69523962	57.50284834	49.70796175	54.19128234	28.1819707	37.00417542	51.36855009	28.14168912	62.64104452	49.3836973	53.78770946	96.29590554	35.31398348	45.1218706	32.79111826	54.76534902	39.58844559	43.19701318	58.3804456	27.12503499
0610009B22Rik	68.87035656	64.06330206	56.7367152	51.08210563	42.33885691	58.74595273	60.01012628	64.46078568	44.14743996	34.9558717	91.81072262	42.38660632	44.24547587	51.9034282	59.13632127	44.59036102	43.17497237	103.89447	55.32111796	45.07160054	39.96469917	37.32152854
0610009L18Rik	0.30395957	5.674371917	8.384884682	7.157046375	8.836269915	9.431145481	19.26819483	7.681443658	0.885935349	26.93691567	0.572404006	2.688314647	7.690706084	4.114883166	7.511590454	4.772393244	5.231216362	9.53105281	9.473406306	3.758882407	14.07376386	18.37437128
0610009O20Rik	13.61824854	17.0215815	12.43997064	31.46008432	20.12702783	18.21301701	14.88395915	16.921827	13.91515509	9.247892846	9.948614975	19.727913	17.82234758	20.87276198	11.81974935	25.31393311	12.79624285	0	12.80624049	15.67941805	22.80874037	10.28515502
0610010F05Rik	12.36160989	6.363109088	4.417736689	7.057560631	12.29706021	6.345520709	5.185657652	13.39923324	5.298492567	1.342508116	12.19573101	8.172952719	7.410406061	15.2580663	9.858408072	5.779783209	5.005793898	5.700214193	6.373954895	4.720938397	7.79816097	6.808474501
0610010K14Rik	39.77342607	94.44721699	79.04611362	77.86894826	100.0012034	89.51840825	91.44478444	114.5738223	121.932068	73.05126309	89.45270256	88.09407856	91.24816391	126.9371598	90.5376559	67.30067633	84.41109057	84.00479952	73.86247841	82.06056118	53.88308378	74.74525186
0610011F06Rik	102.3114421	52.18847893	40.07498302	50.20438373	73.15003338	17.99592803	41.1783419	48.20608415	49.36222021	27.4129894	64.44132774	45.48312371	46.30755469	55.27642807	40.76985442	49.53873648	69.07463213	43.64775602	57.84501607	23.5256909	31.5937471	49.39004995
0610012G03Rik	41.18600521	50.85988539	50.15336894	64.03449311	85.23537212	101.2004866	154.0538677	68.9571883	48.83726137	30.22696724	41.54987682	70.42022857	78.20975805	69.26207152	58.65213687	56.0297135	60.09568724	128.3420082	62.78627222	102.8134831	88.13731899	65.55370454
0610030E20Rik	1.867704965	10.4220971	5.70684657	8.695259016	4.902910895	10.70823736	6.177132119	9.690671799	6.15375205	13.19331455	8.257736867	12.29915554	6.220923011	12.80701887	5.574347205	6.629857304	6.638361635	8.911966298	6.95990759	11.95006634	7.85153022	7.576656879
0610037L13Rik	14.67844479	14.72007441	22.54826293	23.9390028	43.40347033	30.11156184	30.75954249	14.6469651	19.09302061	7.166967892	37.46496784	25.83899074	34.61533972	27.2611673	26.64760794	24.76044386	21.08642268	15.21527193	28.35608561	30.00320064	13.21600459	15.94165871
0610040F04Rik	0.944691083	0.146963858	0.827295257	1.015091345	0	1.221313609	0.998076368	0.442102615	0.229453548	0	0.296500485	0.406152977	0.553294638	0	0.432326777	0.123602988	0.948404205	0	3.066965745	0.58412089	0.214414468	1.034540279
1110001J03Rik	62.29034517	60.1335452	57.16497668	72.71268538	77.27921459	46.33237343	335.3627125	75.47323213	59.68914076	88.22196191	65.88227338	45.59517785	120.5429529	158.2559806	100.7488048	81.72371723	55.80438606	147.1585909	86.43140652	67.53373489	81.34136159	42.61086082
1110004E09Rik	16.17807172	30.95655307	18.59502586	36.27901328	19.17398684	37.64754333	22.5618467	36.79563424	24.99129921	4.779005675	18.58418132	33.98244687	21.37629809	27.37653353	19.10155757	14.98646377	25.61541783	30.43708524	26.471369	24.00772014	21.15015283	25.51213688
1110004F10Rik	181.56569	94.83577784	75.55864859	90.48782753	109.3930215	66.71861774	47.7080504	85.28475231	103.8031464	71.45978915	94.90662857	86.6701441	80.85373588	133.3595425	77.49457485	95.16458924	90.20485299	80.0676515	71.20618183	102.0445286	106.1504769	82.300635
1110007C09Rik	14.27513609	10.9217544	6.609229909	4.985431321	20.40914581	14.5220872	26.70226701	15.77052612	19.09829784	34.56457463	11.45804736	5.001859063	3.947385627	10.13776191	11.56635445	8.450816245	24.56784809	0	36.46790114	16.78499952	4.461634386	14.14643759
1110008F13Rik	69.16788191	75.76826696	50.1370472	49.22457451	46.88272352	33.35930887	9.087247694	36.22715142	54.83939807	42.34654172	22.27142217	38.69615577	54.91001377	28.62469488	31.48985899	21.94482767	55.81907143	39.33147793	36.30119074	47.8645346	26.35460116	50.86391176
1110008L16Rik	11.83111675	6.592156518	7.334548401	3.079496962	9.988751011	8.428121827	3.826439717	2.203421278	4.574348251	3.566239076	9.548514187	7.385174935	4.836402216	4.085840038	4.30939781	5.686451237	5.090408196	3.785512794	5.173598295	2.537999331	5.589772105	4.442183859
1110008P14Rik	16.60997945	71.63872953	57.74461081	62.61442942	109.5082934	106.6279279	210.5834797	159.2175034	141.0632918	152.2735233	60.13160718	48.12369645	56.35689068	116.6942035	172.9965141	62.94910175	121.7376504	134.6968422	158.4272198	224.5294315	78.77855157	88.81614898
1110012L19Rik	89.53636705	35.05790169	19.75832706	25.74660135	15.92213398	22.09225753	38.3650358	20.4927319	20.23402578	10.51652526	73.07600893	28.60032759	58.29956199	43.61659367	63.05140432	49.18861017	55.75575903	33.48943248	56.86508483	85.40948964	63.99572025	53.801967
1110019D14Rik	28.26032655	5.627401148	6.517090181	4.999444198	12.35825446	0	11.14674075	2.821429239	6.955597886	3.710269426	7.214086409	17.21831434	4.766902936	2.890581813	3.448801729	5.324499885	6.701055459	3.938398992	1.95728922	5.591651239	5.131347577	2.310795576
1110020A21Rik	0	0.143952304	1.316806539	2.161500637	4.483320555	2.392573382	11.7314878	0	0	0	0	2.159649492	1.517478573	0	3.387740977	2.663543082	0	0	3.604941703	4.195775461	0.420041457	1.216008819
1110032A03Rik	4.645703064	10.4466397	5.131714336	8.168580186	15.34694466	4.914039606	17.40192635	14.2306431	7.078036788	9.356874748	18.19310007	15.9527538	9.943778944	5.288617798	8.987399253	7.791427421	17.80785898	3.310730465	13.16282492	9.662141837	9.489825519	9.43510023
1110034G24Rik	22.51160533	17.78902095	18.39796951	14.84338194	28.60247386	35.71781881	32.4323932	22.26742539	30.19708527	37.78370904	22.40080315	9.238530656	21.03572803	22.68332842	31.25772564	22.49221474	31.69882404	24.06412654	20.92875741	50.29951943	35.53362268	25.21296328
1110037F02Rik	1.586656141	5.849946474	7.503213342	4.076927414	4.494226519	6.153772719	5.028958229	4.677961401	7.013893499	4.686985468	6.125245796	5.59366552	5.055316631	8.663405039	3.921018545	6.103364419	5.09725605	1.658389793	4.120898457	6.932826711	6.1940618	6.116219576
1110038B12Rik	0	101.6757852	92.73537389	73.6040509	158.5820216	49.55754713	153.8969368	147.1023268	192.7292937	94.36304924	183.1746271	108.0654564	72.74180576	118.922918	176.303447	68.21038248	170.4275225	210.3466137	134.4049572	75.84646117	91.35366841	81.43887022
1110038F14Rik	16.90082077	22.37528112	22.42739811	25.23428168	20.43936453	29.43018771	17.49149419	34.86572777	23.12201935	15.2831813	18.99872381	22.87901146	26.18082713	20.77846274	35.04184869	17.87088484	35.91318738	21.63051032	22.84341305	19.19407323	34.28862713	15.41095198
1110046J04Rik	1.210752729	1.130127483	2.226616739	1.764808242	0.541495998	7.513357854	3.070016113	2.039817085	2.117351277	7.153132047	2.508043037	2.855541427	4.424932923	0.983441189	1.994712351	2.281167118	3.750721538	0	11.32053765	0	1.97857366	0.636435332
1110051M20Rik	2.566991562	4.259649782	1.498662706	2.771613955	9.567158956	2.949913619	4.821430055	2.936553246	2.493959488	2.808480849	4.028376352	2.032084228	4.009219358	2.05931293	1.827394388	2.537639924	0.818121003	5.962326114	4.444698209	3.527157468	1.294721016	2.248909691
1110054M08Rik	0	2.056461485	2.025856213	1.72920051	0.985345177	3.417961975	8.379634144	9.898128804	0.642147518	6.508177518	0.414892365	1.46141695	4.335653065	0.596513508	3.024768729	2.767317487	3.033370424	0	3.433277812	3.814341328	1.800177675	2.895259094
1110057K04Rik	40.29190231	45.1875717	32.6385024	35.73082585	56.51763455	32.20114987	32.50710767	38.74064024	38.25590716	52.29770422	49.26193942	39.1899782	33.63859056	77.68611029	35.53720499	30.48044876	40.24013892	36.37076966	30.91843793	40.76716526	48.71772205	40.27322309
1110058L19Rik	32.43982312	60.55924511	51.1354051	37.00540941	94.61972801	48.13843297	78.67894368	86.3359462	47.68643311	16.66561799	63.2141702	19.543013	36.47928786	64.15516195	73.58305458	21.25897272	75.24873371	53.07095972	59.34371799	29.30237626	29.96337713	41.51810222
1110059E24Rik	42.42620004	52.63734946	39.20202012	34.71721192	88.09662099	42.92558127	53.4543982	64.37422741	78.34199725	46.70574454	112.8954667	61.76158168	33.89278373	62.60760159	90.80830199	53.78634234	58.27714233	41.31457766	43.11793017	77.23239857	83.25527598	48.48139737
1110059G10Rik	2.910993946	8.464960831	7.169758898	3.703298206	8.387307399	13.89557644	16.32378993	6.759132065	5.058081941	6.614678489	9.751390182	8.82947258	8.026311625	18.79452379	13.68048629	8.525700908	10.98321969	5.266041377	6.106556014	1.384557102	11.89263466	7.797989712
1110065P20Rik	2.2222556	3.45712226	2.432622618	1.1074145	2.760776841	11.4918879	0	0.693323655	5.757417121	7.293941733	1.162460892	1.273891882	2.42955887	0	4.067956685	1.550714655	3.399604124	0	0	7.939035887	0.67250732	0
1190002F15Rik	6.819310429	6.943860724	2.850216155	11.46912892	0	9.617593167	133.6139797	13.05550144	0.903449721	18.31296079	10.21510115	0.685365225	6.971330135	28.95399916	9.362331942	16.06024329	6.935024393	0	7.245517097	2.299915858	8.442348897	3.25871666
1190002N15Rik	0	0.088922436	1.12627348	0.587490401	0.532585304	0	1.811698116	0.535000126	2.082508788	4.221253367	2.107968324	0.315962044	0.736512204	0	0	1.196602093	1.639555913	0	0	0	0	1.752694568
1190007I07Rik	19.62002136	50.47953119	41.7981804	34.97238678	73.68616733	58.53488355	86.10410165	48.02842045	35.19105759	14.86091872	29.84229818	34.11188559	44.55057415	31.66864696	60.7800587	32.77957857	30.30328943	55.21129923	25.47877692	21.15225645	27.40377423	32.39438825
1200014J11Rik	7.395495004	10.06108401	10.89461885	12.08569166	9.976227911	40.87630145	25.05355925	31.1909586	20.68258648	43.3388282	12.77101291	14.47628632	10.43758109	12.88958995	19.6490594	20.12030055	12.7793521	37.55392546	45.49202372	10.8858048	15.57575754	21.95549978
1300002E11Rik	9.362400075	1.774405767	2.278640494	2.371262836	5.420020692	2.949168503	3.615159161	2.66891955	3.18592108	1.403885729	2.058427845	3.292546015	1.402872336	6.562401954	1.696437607	6.864820673	3.02628311	5.960820095	6.29506533	2.703471019	2.200469772	2.872880986
1500004A13Rik	0	0.338757971	0.57889581	0.145330988	0.347816801	0	1.314633519	1.310226956	2.266715269	0	0.390540733	0.229273459	0.728781584	0.070187729	0.427085009	0.895431954	0.446145347	0	0.403970688	0.256461638	1.694518307	0.408798776
1500009L16Rik	0	0.441260831	2.069970335	1.060112875	1.057141685	0	1.997824556	1.769891541	0	0	1.335369648	13.93690759	0.443006427	15.57279947	0	1.979304132	0.54239915	4.941140443	1.227813757	4.287140755	0	0.828325382
1500011B03Rik	10.17032292	1.312871501	2.060804854	4.791844311	1.935560164	8.392580581	12.34538394	0.911407634	0.946050571	3.196080276	3.769341277	3.508670584	2.281266564	8.495257932	0.891254455	5.775721001	2.606884473	3.392594416	5.901131329	4.816730049	2.652130651	1.706188338
1500011K16Rik	16.23991145	14.29228054	13.71387252	15.7376436	19.71419339	3.599185606	44.11965203	13.02867139	9.466727164	6.853247349	10.2669234	16.41496194	16.95769608	21.35680176	17.19978233	10.56340704	9.183332595	29.09850402	7.230627008	4.590378713	10.74187402	7.92679814
1500012F01Rik	0	38.55112921	56.76514991	27.871057	58.15138731	35.59682349	71.10956021	78.7457842	104.7744597	75.3114309	97.94158309	49.79422913	34.40323083	48.66434795	60.90359541	33.2237463	100.4783402	55.95941982	67.53973886	14.50276662	41.66264862	49.58503894
1500012K07Rik	0.2149478	0.133756139	0.376472899	0.361512216	0.320443557	0	3.633514882	1.207111862	0.83532975	0	0	0.211229597	0.402855807	0.29098774	0.590210014	0.337484168	0.246620177	0	0.558267184	0.177208546	0.780579708	0.18831312
1500015A07Rik	0	1.413265645	0.132593593	2.659666235	3.160082332	1.565954681	1.279722382	3.401154238	2.942027794	5.963501717	3.32648412	2.529429098	2.553941559	2.596305843	0	3.328129816	0.521157124	0	1.572971702	2.496510955	1.924438866	2.918247202
1600002D24Rik	3.907424293	4.915824953	1.673732221	5.714558795	2.849271268	7.906833931	31.23100365	6.439928159	5.199220585	0	7.278317219	0	6.925300472	18.28401427	7.230494568	8.935686907	9.210011037	5.327062473	11.25154115	3.991712505	13.18721578	7.813931766
1600002H07Rik	1.49256489	4.179520463	11.24477819	17.22745258	9.227667922	8.172485841	12.24424998	3.697941845	7.421103799	7.78065833	10.16825101	12.94187873	12.58816303	6.061724063	11.81282989	12.40644086	5.439683873	2.75301992	6.840922193	9.988839725	3.108659596	7.614950236
1600002K03Rik	10.11564377	8.902488106	13.8573544	4.536827144	8.401921777	13.45133422	25.64948946	24.34620391	21.90206375	0	22.04282986	9.159609699	12.18778051	35.21353935	21.42707139	6.806708336	11.44037286	9.062552518	24.771284	19.30021557	14.16914041	14.43271092
1600012H06Rik	1.160582932	15.42107337	14.8418225	12.13263797	10.07583374	10.59121744	5.193184005	14.56885323	11.7399292	2.016684906	19.28436575	19.1705805	6.813393841	8.68753962	11.62231166	10.71883678	7.637082377	4.281365522	6.383205918	15.36531837	13.57361836	9.868673413
1600014C10Rik	0.981657256	2.545243635	3.044656367	4.066377894	1.097588845	2.538208284	2.765684081	3.67521826	4.927598088	1.611009739	2.516171872	1.527404279	3.219693668	14.4705532	5.840170858	2.654418955	3.097334975	1.710064258	6.798885222	3.506982809	5.644383178	2.866726106
1600014K23Rik	36.51024855	63.34929605	22.95005681	18.45921544	73.12903455	3.474928007	2.839764905	54.71809329	75.07774736	46.31653	36.90813333	32.68702578	14.16829484	22.7420775	92.87048256	13.7155173	90.97583464	7.023478202	68.06473263	174.5061157	33.55331166	148.353076
1600020E01Rik	16.30089203	6.962979284	13.79129134	8.983717186	1.235660472	8.572509622	14.01117486	6.206315711	20.93721512	8.161503084	26.79497962	10.9960359	6.602161863	40.02071318	27.31086338	9.10959468	9.509905809	17.32664226	23.68003801	4.783329653	15.80244073	2.178459265
1600029O15Rik	7.488595984	0.582493568	1.366249077	0.816327936	0.465165716	3.227130488	1.31863047	1.4602339	0.909442754	0	2.154504632	1.456480034	1.169595741	0.563208995	2.855889989	1.63300797	1.611006432	3.261316578	2.431193409	0.771724116	1.416391869	3.006972242
1700001C19Rik	3.029638117	1.560215976	1.646781508	1.464203652	0.467231972	3.241465326	2.648975591	6.746913033	3.044941592	6.172108385	0.885303365	1.616944387	1.174791058	4.667113739	4.302863678	2.132340279	1.797958316	0	4.069987857	2.842224354	5.406197103	2.745753766
1700001D01Rik	10.98934893	4.351690888	5.468018982	2.427001777	5.212737582	0	0	5.610399557	0.970608815	0	5.957560637	2.945250915	0.936194113	0	4.571951318	3.13710947	2.292476409	0	2.594707303	1.64725537	0	1.750478772
