Symbol	troph_WT_male_XK174	troph_WT_male_XK175	troph_WT_male_XK179	troph_WT_male_XK180	troph_WT_male_XK182	troph_WT_male_XK85	troph_WT_male_XK87	troph_WT_male_XK89	troph_WT_male_XK90	troph_WT_male_XK91	troph_WT_male_XK92	troph_WT_male_XK93	troph_WT_male_XK94	troph_WT_male_XK95	troph_Xist_female_XK177	troph_Xist_female_XK178	troph_Xist_female_XK181
0610007P14Rik	25.75674994	56.75445355	50.36296349	57.77395651	40.32892148	53.50657021	27.7977973	77.50052191	82.00475854	52.52830545	73.41388287	81.32911836	49.6985035	62.68101671	4.280418171	60.81057741	29.66007684
0610009B22Rik	50.67762045	59.05776708	15.01386459	18.48561149	12.71619476	22.59727163	17.4460853	26.44425628	24.4467016	26.5650224	16.41423608	23.97885265	4.938593429	26.75313946	6.380245952	32.70594175	0
0610009L18Rik	5.916978742	0	5.984301773	0	0	1.707196707	8.402446169	3.575067383	0	1.795697033	4.684730813	1.71093052	4.22852103	1.05722609	0	0	0
0610009O20Rik	14.72763247	2.375310988	9.75892584	5.814966766	6.49899305	13.18745543	10.09645015	12.4272257	16.16899149	9.709761121	10.25320764	12.77575448	11.97670536	15.51668392	4.21987981	14.73011246	17.14103643
0610010F05Rik	2.654065102	1.992303247	3.877268629	3.116874048	2.44187798	5.105095467	9.631692924	0	2.682557319	6.712176712	8.405357604	3.32556954	3.477294649	7.350402697	9.80153726	10.79645934	4.683950166
0610010K14Rik	73.54638235	110.494021	30.20408269	38.86704385	39.25775352	41.66831481	36.07928784	36.35761298	36.4921817	35.30619654	30.17366873	32.4795704	41.56965006	27.59614849	50.00072266	49.22779012	28.5404165
0610011F06Rik	34.62393191	30.51098191	28.9278147	7.513549647	45.32843778	29.96961716	34.20379238	20.46516686	30.81137043	37.00552961	37.54427611	33.95279382	32.27440835	31.06693412	12.50874361	53.89250169	38.10763093
0610012G03Rik	87.14571342	61.67878305	104.3656986	65.30391445	64.35112837	201.8681768	114.3231533	100.0423428	103.8100444	101.2548512	98.56724587	105.1146396	150.3568367	57.16747046	62.06751841	84.84423774	43.25529268
0610030E20Rik	3.42496964	7.393501443	8.970713148	9.049965541	7.734641555	10.03392523	9.353176124	5.014275023	9.586350711	5.516905192	5.944876899	6.856275303	1.976929394	8.049656482	5.472912745	6.225502106	1.43846495
0610037L13Rik	32.27315785	26.18066103	20.69876483	21.26146191	21.92408821	17.71478002	15.64917226	21.40199913	17.90101112	10.03321115	20.56630052	35.50704808	52.31533852	17.29938165	13.08135534	23.07068756	0
